Animal,clipped_PA_surf,total_surf
Bf,11457.722,18936.762
Ch,3335232.5,6652528.5
Ct,530378.44,973402.4
Dk,421.71948,549.97473
Gt,26538.771,53354.695
Ho,21822.273,39796.586
Pg,84426.75,169865.34
Sh,424541.06,860173.5
