Animal,clipped_PA_surf,total_surf
Bf,0.6395139,0.6395139
Ch,6589895.5,18085900.0
Ct,505190.38,1395538.9
Dk,153481.9,414112.6
Gt,2065488.5,6547863.0
Ho,55.89028,108.56283
Pg,894770.2,3153636.0
Sh,90303.36,275679.03
