Animal,clipped_PA_surf,total_surf
Bf,210547.6,685957.2
Ch,2044029.2,13040296.0
Ct,567143.44,2878831.0
Dk,1225839.6,8207299.0
Gt,41448.2,159283.69
Ho,5367.6846,29971.879
Pg,515313.7,2183751.0
Sh,8493.247,36366.984
