Animal,clipped_PA_surf,total_surf
Bf,0.0,0.008251815
Ch,5893623.5,14345038.0
Ct,266946.78,829316.4
Dk,38289.12,114634.99
Gt,14467.953,64679.934
Ho,11430.463,36257.91
Pg,281967.2,829535.56
Sh,627681.06,2263984.0
