Country Code (ISO3),item,macro_impact,type,physical_volume,physical_unit,bu_agri_output,Country Name,gdp2022,relative impact,2022_USD_agrioutput_GDPdef,2022_USD_agrioutput_agriAVdef,2022_USD_agrioutput_agriAVdef_PPP,recomputed_sum
AFG,alfalfa,,vegetal,,tonnes,,Afghanistan,14502158192.0904,,7598797133.0,5419418901.41455,5419418901.0,10691032369.6189
AFG,almond,,vegetal,3549.398150390625,tonnes,,Afghanistan,14502158192.0904,,7598797133.0,5419418901.41455,5419418901.0,10691032369.6189
AFG,aniseetc,,vegetal,508.66831640625,tonnes,,Afghanistan,14502158192.0904,,7598797133.0,5419418901.41455,5419418901.0,10691032369.6189
AFG,apple,,vegetal,32083.637345703126,tonnes,,Afghanistan,14502158192.0904,,7598797133.0,5419418901.41455,5419418901.0,10691032369.6189
AFG,apricot,,vegetal,12051.148186926268,tonnes,,Afghanistan,14502158192.0904,,7598797133.0,5419418901.41455,5419418901.0,10691032369.6189
AFG,artichoke,,vegetal,,tonnes,,Afghanistan,14502158192.0904,,7598797133.0,5419418901.41455,5419418901.0,10691032369.6189
AFG,asparagus,,vegetal,,tonnes,,Afghanistan,14502158192.0904,,7598797133.0,5419418901.41455,5419418901.0,10691032369.6189
AFG,banana,125593.98845988646,vegetal,209.07938814697266,tonnes,134993.5669529632,Afghanistan,14502158192.0904,0.9303701746294923,7598797133.0,5419418901.41455,5419418901.0,10691032369.6189
AFG,barley,19742622.504364375,vegetal,22892.651326953128,tonnes,127254548.54112001,Afghanistan,14502158192.0904,0.1551427648810911,7598797133.0,5419418901.41455,5419418901.0,10691032369.6189
AFG,bean,113005.61994774202,vegetal,95.71272360958098,tonnes,599959.6963502448,Afghanistan,14502158192.0904,0.188355352259815,7598797133.0,5419418901.41455,5419418901.0,10691032369.6189
AFG,beetfor,40931.668596075164,vegetal,42.41184187760353,tonnes,72651.68905310553,Afghanistan,14502158192.0904,0.5633959668323159,7598797133.0,5419418901.41455,5419418901.0,10691032369.6189
AFG,berrynes,,vegetal,1553.1218253082275,tonnes,,Afghanistan,14502158192.0904,,7598797133.0,5419418901.41455,5419418901.0,10691032369.6189
AFG,broadbean,819.4216487300716,vegetal,0.7530756812150278,tonnes,8001.0668980161845,Afghanistan,14502158192.0904,0.10241404792318912,7598797133.0,5419418901.41455,5419418901.0,10691032369.6189
AFG,buckwheat,,vegetal,,tonnes,,Afghanistan,14502158192.0904,,7598797133.0,5419418901.41455,5419418901.0,10691032369.6189
AFG,cabbagefor,0.0,vegetal,0.0,tonnes,0.0,Afghanistan,14502158192.0904,,7598797133.0,5419418901.41455,5419418901.0,10691032369.6189
AFG,cabbage,161698.5268789922,vegetal,581.9633862839381,tonnes,408896.2412477363,Afghanistan,14502158192.0904,0.3954512430478043,7598797133.0,5419418901.41455,5419418901.0,10691032369.6189
AFG,carrotfor,0.0,vegetal,0.0,tonnes,0.0,Afghanistan,14502158192.0904,,7598797133.0,5419418901.41455,5419418901.0,10691032369.6189
AFG,carrot,566444.1636620589,vegetal,784.3314368070603,tonnes,1151954.5858090804,Afghanistan,14502158192.0904,0.49172438795772,7598797133.0,5419418901.41455,5419418901.0,10691032369.6189
AFG,castor,,vegetal,,tonnes,,Afghanistan,14502158192.0904,,7598797133.0,5419418901.41455,5419418901.0,10691032369.6189
AFG,cauliflower,,vegetal,,tonnes,,Afghanistan,14502158192.0904,,7598797133.0,5419418901.41455,5419418901.0,10691032369.6189
AFG,cerealnes,,vegetal,,tonnes,,Afghanistan,14502158192.0904,,7598797133.0,5419418901.41455,5419418901.0,10691032369.6189
AFG,cherry,,vegetal,,tonnes,,Afghanistan,14502158192.0904,,7598797133.0,5419418901.41455,5419418901.0,10691032369.6189
AFG,chickpea,,vegetal,,tonnes,,Afghanistan,14502158192.0904,,7598797133.0,5419418901.41455,5419418901.0,10691032369.6189
AFG,chilleetc,8563.862621999135,vegetal,6.894664376458526,tonnes,17103.21531262091,Afghanistan,14502158192.0904,0.5007165299310496,7598797133.0,5419418901.41455,5419418901.0,10691032369.6189
