Country Code (ISO3),Country Code (M49),Animal,heads_on_PA,total_heads,total volume
AFG,4,Bf,455.20013,840.0013,
AFG,4,Ch,4217204.5,12092643.0,149581501.916
AFG,4,Ct,1754134.8,5268365.0,1910657234.009
AFG,4,Dk,94736.9,390565.3,
AFG,4,Gt,2651670.2,7746219.0,363679062.532
AFG,4,Ho,52041.21,172977.95,
AFG,4,Pg,17.390537,35.31682,
AFG,4,Sh,3441006.0,13245412.0,765256592.541
ALB,8,Bf,36.68562,115.64902,
ALB,8,Ch,1909956.9,8554729.0,155531696.93653846
ALB,8,Ct,143223.62,504152.53,574034378.01158
ALB,8,Dk,184773.97,1003687.5,
ALB,8,Gt,273199.94,931509.75,91093184.20085712
ALB,8,Ho,6945.466,30934.459,
ALB,8,Pg,68761.55,171476.19,31353925.68
ALB,8,Sh,515619.2,1917048.2,165502224.03184286
DZA,12,Bf,0.0,0.0,
DZA,12,Ch,100654672.0,133532600.0,1722335151.204
DZA,12,Ct,1543702.0,2145168.0,2984129624.6256
DZA,12,Dk,32611.716796875,59867.188,
DZA,12,Gt,2354904.75,5021311.5,853252511.7475
DZA,12,Ho,20578.55859375,42395.973,1499410.686
DZA,12,Pg,1347.9853515625,5068.444,371756.502
DZA,12,Sh,12096041.0,28096154.0,4627265077.772333
AGO,24,Bf,0.0,0.0,
AGO,24,Ch,9410785.0,35696710.0,531524011.916
AGO,24,Ct,1242411.5,4988371.0,922494112.6824
AGO,24,Dk,60.5864486694336,196.74959,
AGO,24,Gt,1325866.875,4384230.5,102192989.86
AGO,24,Ho,192.05133056640625,1055.3392,
AGO,24,Pg,927227.75,3139573.5,582943928.7653999
AGO,24,Sh,422758.875,1120624.4,42734168.73899999
ARG,32,Bf,36911.62,80844.6,
ARG,32,Ch,26866056.0,114767704.0,8498404513.192043
ARG,32,Ct,12637964.0,51433076.0,22275912042.211
ARG,32,Dk,723818.1,2581893.5,21304486.888
ARG,32,Gt,1604583.1,4723624.5,38234347.85657142
ARG,32,Ho,761578.56,2448282.8,108321009.4
ARG,32,Pg,1024029.3,5015117.5,2668078623.0
ARG,32,Sh,4332205.0,14858392.0,299152390.0959
ARM,51,Bf,162.00822,808.8533,
ARM,51,Ch,1255945.5,4050001.8,125682544.52307692
ARM,51,Ct,235770.84,680309.56,643544161.0
ARM,51,Dk,8364.717,24707.127,
ARM,51,Gt,13568.902,33074.94,2140737.251714286
ARM,51,Ho,3585.962,11348.959,
ARM,51,Pg,40816.0,141098.45,54956415.0
ARM,51,Sh,282668.6,699381.56,103074255.1436
AUS,36,Bf,1273.9581,3966.195,
AUS,36,Ch,31596058.0,88501736.0,4352351388.156905
AUS,36,Ct,7011558.5,27385164.0,17497287127.0
AUS,36,Dk,472354.62,1145785.8,102322049.04
AUS,36,Gt,649662.44,3598219.8,192494952.7444445
AUS,36,Ho,104421.414,271353.47,47366240.58733333
AUS,36,Pg,568152.94,2270200.8,1006049626.6666667
AUS,36,Sh,16487457.0,70861496.0,4679472797.34375
AUT,40,Bf,35.94857,57.01588,0.0
AUT,40,Ch,2538491.2,16388198.0,
AUT,40,Ct,451078.88,1972808.2,4068438411.25
AUT,40,Dk,14973.871,59691.695,
AUT,40,Gt,19632.486,70910.96,39732167.38888889
AUT,40,Ho,26270.664,88915.67,
AUT,40,Pg,475472.25,2847598.5,1101420272.0
AUT,40,Sh,114200.43,350139.03,55979949.1375
AZE,31,Bf,31977.152,242240.88,
AZE,31,Ch,4895501.0,27331344.0,641248576.1104615
AZE,31,Ct,515077.62,2454857.0,1876116751.594
AZE,31,Dk,301.7992,566.58704,
AZE,31,Gt,217092.4,647959.75,2685463.0
AZE,31,Ho,21023.012,73599.484,
AZE,31,Pg,2662.9243,5825.0522,1851551.7
AZE,31,Sh,1804156.2,7991286.0,612272301.8825713
BHS,44,Bf,0.0,0.0,
BHS,44,Ch,599540.625,3007001.2,19042142.91156419
BHS,44,Ct,124.22955322265624,726.99164,588803.80995
BHS,44,Dk,0.0,0.0,
BHS,44,Gt,2288.5244140625,14729.117,2367748.303333333
BHS,44,Ho,0.0,0.0,
BHS,44,Pg,772.8392944335938,4877.355,788975.3386666668
BHS,44,Sh,1000.341796875,6462.605,188528.525625
BHR,48,Bf,0.0,0.0,
BHR,48,Ch,0.0,3428000.0,34960784.019459456
BHR,48,Ct,0.0,8945.0,12371472.073375
BHR,48,Dk,0.0,0.0,
BHR,48,Gt,0.0,19151.0,2049275.373
BHR,48,Ho,0.0,0.0,
BHR,48,Pg,0.0,0.0,
BHR,48,Sh,0.0,47615.0,168258737.0736375
BGD,50,Bf,329795.78,1451692.9,524713272.1833333
BGD,50,Ch,44846616.0,259011520.0,1923600823.432
BGD,50,Ct,3114892.0,23442616.0,10891783784.784
BGD,50,Dk,8526923.0,49937110.0,133204778.752
BGD,50,Gt,7023546.0,55570030.0,3256911439.9750004
BGD,50,Ho,3.669184,17.318787,
BGD,50,Pg,128648.37,243964.97,
BGD,50,Sh,298704.88,2082063.8,223314493.25
BRB,52,Bf,0.0,0.0,
BRB,52,Ch,2885521.0,3919000.0,51324371.30472973
BRB,52,Ct,8415.7158203125,11050.0,4080335.1575
BRB,52,Dk,0.0,0.0,
BRB,52,Gt,3792.7919921875,5393.0,201875.21833333332
BRB,52,Ho,874.1548461914062,1239.0,
BRB,52,Pg,16438.58203125,22599.998,5854595.466666667
BRB,52,Sh,8983.2841796875,12998.0,531682.96875
BLR,112,Bf,0.0,0.03507725,
BLR,112,Ch,4598334.5,45085436.0,1883477982.3116307
BLR,112,Ct,919521.2,4357579.0,5679778403.0
BLR,112,Dk,176058.61,1813779.6,7666928.0
BLR,112,Gt,14325.972,68612.69,8754338.978
BLR,112,Ho,15485.806,64036.188,1471020.0
BLR,112,Pg,451187.78,3212254.0,1336289205.0
BLR,112,Sh,13990.512,84128.375,6548556.12
BEL,56,Bf,0.357896,0.78060055,0.0
BEL,56,Ch,6200244.5,38502524.0,1213151516.25
BEL,56,Ct,527179.2,2501878.2,4684050495.0
BEL,56,Dk,30282.977,171538.61,765504.0
BEL,56,Gt,11391.613,43692.594,65078895.55555555
BEL,56,Ho,5954.2627,31898.895,
BEL,56,Pg,841935.6,6444420.0,2380323101.333333
BEL,56,Sh,17528.262,100799.78,13636104.375
BLZ,84,Bf,18.383625,28.178936,
BLZ,84,Ch,786650.94,1613672.5,65447610.14192308
BLZ,84,Ct,47712.887,94684.61,12790398.189
BLZ,84,Dk,6906.159,11744.868,32231.08
BLZ,84,Gt,103.85287,173.9227,5922.000857142857
BLZ,84,Ho,3110.6194,5698.816,
BLZ,84,Pg,12061.018,21576.04,8184448.649999999
BLZ,84,Sh,8158.9297,13760.482,316490.51
BEN,204,Bf,0.0,0.0,
BEN,204,Ch,3732804.0,19352704.0,74840222.581
BEN,204,Ct,511926.40625,2280051.2,354598462.605
BEN,204,Dk,315.5050354003906,1554.239,
BEN,204,Gt,402144.25,1799682.2,138677906.511
BEN,204,Ho,312.5549621582031,1130.3932,
BEN,204,Pg,125751.4375,447837.75,34569082.4148
BEN,204,Sh,200391.84375,895927.4,236900420.556
BTN,64,Bf,262.63528,662.6527,6875642.286666665
BTN,64,Ch,173622.81,607638.8,12733711.38
BTN,64,Ct,105063.54,307349.7,46654100.7792
BTN,64,Dk,1447.323,6801.0205,
BTN,64,Gt,14254.751,54151.227,884655.277
BTN,64,Ho,5559.6465,14714.653,
BTN,64,Pg,6756.615,19273.393,4244122.4454
BTN,64,Sh,6554.412,19656.457,173028.534
BOL,68,Bf,14.768071,29.005108,
BOL,68,Ch,54167440.0,196612500.0,2195587067.2850003
BOL,68,Ct,3227512.0,8944906.0,2512628760.3294
BOL,68,Dk,183172.1,664869.2,4398054.008
BOL,68,Gt,324010.47,2179628.5,107712257.1705
BOL,68,Ho,150947.86,491525.8,
BOL,68,Pg,761884.8,2854856.5,423313168.32
BOL,68,Sh,1624893.8,7470627.5,369669078.4446666
BIH,70,Bf,0.0,0.0,
BIH,70,Ch,1846180.375,15417846.0,248206602.4546154
BIH,70,Ct,109718.5,458537.7,350976437.52589
BIH,70,Dk,20152.10546875,57666.305,0.0
BIH,70,Gt,21131.4453125,73347.95,
BIH,70,Ho,5073.12890625,16737.602,24173.761999999995
BIH,70,Pg,55610.46484375,578046.2,29072349.2535
BIH,70,Sh,268474.6875,1025225.4,17908550.334014285
BWA,72,Bf,0.0,0.0,
BWA,72,Ch,225984.125,757590.4,11847138.119307691
BWA,72,Ct,434109.15625,1742475.8,282411984.49583995
BWA,72,Dk,14.799639701843262,56.74292,
BWA,72,Gt,329632.25,1203620.2,31224563.87914285
BWA,72,Ho,9152.240234375,32306.191,
BWA,72,Pg,1048.693603515625,4511.3887,870339.9495
BWA,72,Sh,76509.6015625,241088.28,4807361.667099999
BRA,76,Bf,689861.1,1364557.4,
BRA,76,Ch,143566340.0,1325112700.0,48942367790.99359
BRA,76,Ct,24259586.0,215161120.0,71777135742.54431
BRA,76,Dk,505932.8,3654739.0,10318228.8
BRA,76,Gt,1576719.0,9618495.0,411254225.9477143
BRA,76,Ho,861086.06,5547363.0,109925548.982
BRA,76,Pg,3306062.0,39776092.0,19128900190.5645
BRA,76,Sh,2295143.8,18397188.0,699876281.1480999
