Animal,clipped_PA_surf,total_surf
Bf,7469973.5,35477864.0
Ch,124588450.0,469117760.0
Ct,11231060.0,41163764.0
Dk,1004705.6,3694970.2
Gt,18414168.0,68325420.0
Ho,101477.516,361829.0
Pg,272.85574,604.8088
Sh,6852987.5,29393448.0
