Animal,clipped_PA_surf,total_surf
Bf,2979.5525,7969.0884
Ch,44259016.0,140159500.0
Ct,4667166.0,12645373.0
Dk,856874.3,2490411.2
Gt,46454.64,111954.04
Ho,162621.75,423364.88
Pg,8540425.0,27736108.0
Sh,629103.1,1581124.8
