Animal,clipped_PA_surf,total_surf
Bf,0.0,0.0
Ch,270000.0,270000.0
Ct,4492.0,4492.0
Dk,0.0,0.0
Gt,7197.0,7197.0
Ho,30.0,30.0
Pg,2945.0,2945.0
Sh,13732.0,13732.0
