Animal,clipped_PA_surf,total_surf
Bf,343.82095,685.4919
Ch,42376388.0,138143760.0
Ct,2697966.0,6188934.0
Dk,151242.12,302729.38
Gt,1586428.8,3007486.2
Ho,126914.77,317966.53
Pg,8704908.0,28367512.0
Sh,8491707.0,16533279.0
