Animal,clipped_PA_surf,total_surf
Bf,0.012436851,0.04251053
Ch,385605.06,3969132.0
Ct,82963.97,422644.44
Dk,11187.424,56659.992
Gt,2572.8857,12280.868
Ho,2194.9556,10072.665
Pg,67094.89,349019.56
Sh,21212.979,92762.73
