Country Code (ISO3),Crop,Item Code (CPC),clipped_PA_surf,total_surf,yield,price
CHN,rapeseed,01443,1332939.75,6748300.0,2141.2,932.1
CHN,rasberry,01353.01,0.905600130558014,2.1965864,6992.539999999999,2257.7833333333333
CHN,rice,0113,6006979.5,30102664.0,7079.6,413.1
CHN,rootnes,01599.10,640.6643676757812,3036.4626,14948.1,1379.75
CHN,rubber,01950.01,153425.890625,728485.1,1197.2,1000.6
CHN,ryefor,0116,0.0,0.0,3118.5,282.26
CHN,rye,0116,31291.529296875,173485.83,3118.5,282.26
CHN,safflower,01446,4639.802734375,22746.078,1468.6,412.06666666666666
CHN,sesame,01444,40057.89453125,285871.97,1619.6,1340.525
CHN,sisal,01929.05,424.49066162109375,2701.2024,5392.4,679.0999999999999
CHN,sorghumfor,0114,0.0,0.0,4586.9,256.0888888888889
CHN,sorghum,0114,120418.5390625,722276.7,4586.9,256.0888888888889
CHN,sourcherry,01344.01,1.5103474855422974,2.5031626,5918.246153846154,735.1125
CHN,soybean,0141,1232819.875,9521142.0,1980.1,917.7
CHN,spicenes,01699,6572.93115234375,30993.115,3316.2,8149.45
CHN,spinach,01215,134881.359375,698917.3,41825.7,657.1727272727272
CHN,stonefruitnes,01349.20,3529.72509765625,16965.906,8685.4,921.9
CHN,strawberry,01354,23619.421875,106771.32,27003.1,1978.229411764706
CHN,stringbean,01241.01,210.2636566162109,1314.7727,9331.877777777778,1271.2
CHN,sugarbeet,01801,20324.931640625,191645.77,54855.4,49.31428571428571
CHN,sugarcane,01802,336613.9375,1318297.8,80192.1,112.05384615384614
CHN,sugarnes,01809,74.96031188964844,134.15834,,
CHN,sunflower,01445,143583.15625,901419.5,2794.1,736.6333333333333
CHN,sweetpotato,01530,469524.46875,2251309.2,22179.8,884.9
CHN,tangetc,01324,443627.46875,2110956.8,10942.0,605.4733333333334
CHN,taro,01550,20498.64453125,98009.71,19621.9,1848.05
CHN,tea,01620,1122904.375,3270367.0,5343.4,11686.885714285714
CHN,tobacco,01970,238918.96875,923664.75,2096.8,2575.213333333333
CHN,tomato,01234,205554.21875,1072958.9,59936.8,916.6
CHN,triticale,01191,38439.671875,191544.6,1881.3,253.3571428571429
CHN,tropicalnes,01319,215402.21875,1017919.94,3567.3,863.2
CHN,tung,01499.02,32293.357421875,159305.95,2642.1,247.75
CHN,turnipfor,01251,0.0,0.0,43180.5,483.1
CHN,vanilla,01658,408.9951171875,2441.9253,165.9,5635.0
CHN,vegetablenes,01290.90,453859.0625,2199403.0,15845.2,1089.6571428571428
CHN,vegfor,01290.90,2158628.75,9737597.0,15845.2,1089.6571428571428
CHN,vetch,01709.01,10.500743865966797,35.698643,3021.172727272728,258.95
CHN,walnut,01376,56969.58203125,276402.47,3890.6,2291.208333333333
CHN,watermelon,01221,260152.84375,1372676.6,42444.9,436.2214285714286
CHN,wheat,0111,2390198.75,20714598.0,5855.4,419.5
CHN,yam,01540,17.072221755981445,30.864712,15444.95,2411.3545454545456
COL,abaca,01929.07,11.986163139343262,17.236065,,
COL,agave,01929.06,7941.77978515625,17771.07,747.7,
COL,alfalfa,01912,4.589783191680908,7.352265,,
COL,apple,01341,316.4591369628906,583.5713,29666.0,1743.6
COL,artichoke,01216,0.14566171169281,0.14566171,13040.042857142858,1184.55
COL,asparagus,01211,350.9170227050781,917.2907,4000.0,3378.26
COL,avocado,01311,19724.255859375,74652.06,9898.7,1531.5
COL,banana,01312,27597.69140625,95697.19,24057.0,477.8
COL,barley,0115,2135.7060546875,3020.7063,2425.0,315.71
COL,bean,01701,44443.27734375,92852.53,1353.2,2772.1
COL,beetfor,01801,0.0,0.0,25628.6,49.31428571428571
COL,berrynes,01355.90,1.596409559249878,2.2447076,9544.786666666663,1893.76
COL,brazil,01377,0.443816214799881,0.56143284,,
COL,broadbean,01702,756.4349975585938,1206.3685,3290.2,937.1625
COL,buckwheat,01192,0.0,0.0,840.9555555555555,813.657142857143
COL,cabbagefor,01212,0.0,0.0,33560.1,450.7
COL,cabbage,01212,1015.9391479492188,2276.8616,33560.1,450.7
COL,carrotfor,01251,0.0,0.0,28172.9,475.2
COL,carrot,01251,4533.81640625,8844.235,28172.9,475.2
COL,cashewapple,01359.02,0.0,0.0,,
COL,cashew,01372,297.5247802734375,2324.3196,9054.1,526.2
COL,cassava,01520.01,29602.330078125,108112.05,10592.1,798.4
COL,castor,01447,1.8614453077316284,2.298118,1452.875,366.0
COL,cauliflower,01213,1403.0206298828125,2896.3503,20864.2,988.9
COL,cerealnes,01199.01,18.64899444580078,180.86697,,
COL,chestnut,01373,0.0,0.0,3228.2125,1735.88
COL,chickpea,01703,39.777950286865234,76.87555,791.7,1771.1
COL,chilleetc,01231,1957.7064208984373,9978.641,11536.8,1173.0285714285717
COL,citrusnes,01329,14913.85546875,16177.514,11992.28888888889,713.55
COL,cocoa,01640,64481.95703125,183768.38,327.1,2077.7
COL,coconut,01460,12561.953125,22213.756,6093.9,907.2
COL,coffee,01610,405233.96875,843067.5,789.4,4043.1
COL,cotton,01921.01,1407.545654296875,9492.087,2440.2,976.475
COL,cucumberetc,01232,1003.1199951171876,3099.5938,16636.1,593.9
COL,date,01314,3.3319692611694336,6.0542216,7000.0,1099.55
COL,eggplant,01233,176.00619506835938,796.8639,11369.0,682.6
COL,fig,01315,43.49326705932617,101.32768,22426.5,1408.2
COL,fruitnes,01319,22206.375,62194.66,10005.7,863.2
COL,garlic,01252,297.2596435546875,775.4497,15121.3,1939.7
COL,grapefruitetc,01321,7.34940767288208,21.982786,17130.608333333334,530.0384615384615
COL,grape,01330,1480.270263671875,4006.2205,11459.1,982.2
COL,greenbean,01241.90,2172.408447265625,5598.584,6524.629166666667,1119.0
COL,greenbroadbean,01243,43.71803283691406,57.81472,3853.4,449.4
COL,greencorn,01290.01,36.90486907958984,48.04037,11107.75,523.3333333333334
COL,greenonion,01253.01,4058.17138671875,11194.975,17758.72666666667,709.5749999999999
COL,greenpea,01242,8548.9033203125,23821.576,5498.670833333334,1562.8
COL,groundnut,0142,150.01947021484375,2683.9424,1465.2,1996.1571428571428
COL,legumenes,01290.90,0.0,0.0,11189.3,1089.6571428571428
COL,lemonlime,01322,7671.44970703125,22611.523,12238.3,712.8
COL,lentil,01704,3181.40234375,4257.9473,291.3,1435.0
COL,lettuce,01214,4372.8359375,7998.006,24099.9,549.7
COL,linseed,01441,0.0714599341154098,0.09212701,870.5153846153846,861.76
COL,lupin,01709.02,2.499820709228516,3.3515325,1326.4,1418.4
COL,maizefor,0112,0.0,0.0,4152.8,524.0
COL,maize,0112,90113.15625,337738.4,4152.8,524.0
COL,mango,01316,9281.125,33241.168,10902.0,1213.8
COL,melonetc,01229,1071.197998046875,7230.022,16089.5,589.1
COL,nutnes,01379.90,0.0361964702606201,15.64611,3336.9,3934.2
COL,oats,0117,1352.832275390625,2448.4265,2178.9,1964.5
COL,oilpalm,01491.01,101494.859375,551230.3,16478.1,176.82857142857142
COL,olive,01450,0.8749573826789856,1.1358957,3193.8230769230768,768.55
COL,onion,01253.02,12083.134765625,25551.121,23698.2,591.8
COL,orange,01323,7386.52734375,20384.324,15849.7,422.1
COL,papaya,01317,1570.1065673828125,7290.9077,20060.3,617.7
COL,peachetc,01345,664.8161010742188,2515.7432,13822.2,1326.2
COL,pear,01342.01,989.1556396484376,1795.9563,21886.4,1587.3
COL,pea,01705,13444.361328125,29418.973,1543.5,928.1
COL,pepper,01651,0.8257474899291992,1.1942261,2868.4933333333333,2927.083333333333
COL,pigeonpea,01707,178.91653442382812,543.35785,2767.3,3031.5
COL,pimento,01652,967.0285034179688,3401.0015,,
COL,pineapple,01318,8091.85498046875,22662.2,40214.1,458.3
COL,plantain,01313,88089.09375,290606.56,9022.3,628.4
COL,plum,01346,564.2678833007812,1205.0854,13359.1,591.7
COL,popcorn,0112,0.0,0.0,4152.8,524.0
COL,potato,01510,82051.2265625,124847.13,21984.2,461.6
COL,pulsenes,01709.90,0.2224091738462448,0.30170995,3474.5375,601.86
COL,pumpkinetc,01235,3970.305908203125,16711.656,10771.7,171.6
COL,pyrethrum,01930.02,0.0486017353832721,0.079289496,,
COL,quince,01342.02,0.0310576595366001,0.03105766,11051.015789473684,553.5363636363636
COL,quinoa,01194,472.1249694824219,762.26794,1347.7,1505.55
COL,rapeseed,01443,2.4800846576690674,5.046639,2034.2133333333331,574.6545454545454
COL,rice,0113,104925.09375,510486.28,4630.7,422.0
COL,rootnes,01599.10,4825.24951171875,13505.272,12951.0,1379.75
COL,rubber,01950.01,3647.926025390625,3928.964,1000.0,1000.6
COL,sesame,01444,569.0645751953125,4384.1973,858.0,1340.525
COL,sisal,01929.05,1.3546444177627563,4.261261,1183.4,679.0999999999999
COL,sorghumfor,0114,0.0,0.0,4066.7,256.0888888888889
COL,sorghum,0114,280.2973022460937,1604.9298,4066.7,256.0888888888889
COL,soybean,0141,4388.5546875,45349.582,2594.7,619.4705882352941
COL,spicenes,01699,1452.630859375,1616.2212,5942.4,8149.45
COL,spinach,01215,825.0015869140625,1492.1433,18038.6,706.9
COL,strawberry,01354,890.429931640625,1851.0233,39137.7,1656.5
COL,stringbean,01241.01,0.4504697918891907,0.7418794,9331.877777777778,1271.2
COL,sugarbeet,01801,605.7393188476562,1218.8147,25628.6,49.31428571428571
COL,sugarcane,01802,184879.640625,370718.84,93056.9,112.05384615384614
COL,sunflower,01445,0.6319891214370728,1.7124776,1700.0608695652174,736.6333333333333
COL,sweetpotato,01530,0.4718273878097534,2.2495484,13995.671428571428,884.9
COL,tangetc,01324,6370.31884765625,17281.701,16207.6,870.8
COL,tea,01620,59.93782424926758,64.134346,2500.0,11686.885714285714
COL,tobacco,01970,1967.7586669921875,3898.6904,1833.0,2575.213333333333
COL,tomato,01234,3395.31298828125,9143.211,50855.6,625.4
COL,tropicalnes,01319,20630.84375,58528.473,10005.7,863.2
COL,turnipfor,01251,0.0,0.0,28172.9,475.2
COL,vegetablenes,01290.90,1238.1907958984375,3466.1536,11189.3,1089.6571428571428
COL,vegfor,01290.90,6760.419921875,16934.53,11189.3,1089.6571428571428
COL,watermelon,01221,4497.60546875,12596.717,17373.3,411.7
COL,wheat,0111,1633.1697998046875,2785.3164,2821.3,772.3
COL,yam,01540,10560.6669921875,34740.184,11800.2,471.5
COL,yautia,01591,3.0148892402648926,13.263166,17745.087499999998,906.26
COD,avocado,01311,1771.7138671875,8686.606,6722.6,770.1
COD,bambara,01708,3015.85009765625,26016.732,386.1,295.0
COD,banana,01312,55763.12890625,218617.92,3756.9,600.6999999999999
COD,barley,0115,1013.767822265625,1441.2642,681.1,862.4
COD,bean,01701,281781.375,476636.03,545.4,1180.675
COD,broadbean,01702,0.0,0.63161373,2022.3166666666664,1088.1
COD,cabbagefor,01212,0.0,0.0,17671.8,277.85
COD,cabbage,01212,984.4218139648438,1962.7648,17671.8,277.85
COD,carrotfor,01251,0.0,0.0,9064.5,722.1999999999999
COD,carrot,01251,613.0411376953125,633.7039,9064.5,722.1999999999999
COD,cashew,01372,1.0357027053833008,20.063086,1225.8777777777775,573.7
COD,cassava,01520.01,858883.5,4928120.0,8149.7,309.0857142857143
COD,castor,01447,6.347868919372559,102.914894,,
COD,chickpea,01703,64.72257995605469,124.776764,,
COD,citrusnes,01329,4.9950852394104,97.600655,,
COD,cocoa,01640,2689.432373046875,22524.756,517.1,997.15
COD,coconut,01460,2.642275333404541,5.770015,,
COD,coffee,01610,10176.8056640625,74759.125,393.6,921.0
COD,cotton,01921.01,12660.7880859375,70441.85,413.7,408.8
COD,cowpea,01706,17514.97265625,160930.19,442.0,989.2
COD,cucumberetc,01232,26.69291305541992,71.71748,4148.9,778.5
COD,date,01314,0.0,0.36807573,6005.742857142858,1103.2
COD,eggplant,01233,0.0,0.10619196,13908.78888888889,551.7
COD,fornes,01919.96,0.0,1.7970582,,
COD,fruitnes,01319,2205.94921875,10596.544,,
COD,grapefruitetc,01321,114.87628936767578,605.4862,15139.2,
COD,greenbean,01241.90,273.46783447265625,1095.4111,4436.1,1372.85
COD,greenonion,01253.01,4.69321346282959,91.70048,12214.95,595.2666666666667
COD,groundnut,0142,80059.5390625,485297.62,953.7,765.4375
COD,jutelikefiber,01922.02,1406.1947021484375,7145.9595,796.9,
COD,legumenes,01290.90,0.0,0.0,6180.5,205.2
COD,lemonlime,01322,347.5439147949219,705.16425,15175.8,1410.2
COD,lettuce,01214,69.131103515625,369.4689,41402.9,354.95
COD,maizefor,0112,0.0,0.0,771.9,488.3
COD,maize,0112,610535.3125,2727738.0,771.9,488.3
COD,mango,01316,3483.1103515625,17600.918,16797.6,849.6833333333334
COD,melonseed,01449.01,20866.220703125,102823.48,627.3,
COD,millet,0118,17209.447265625,67652.06,669.2,516.9125
COD,oilpalm,01491.01,48446.03125,319663.28,6586.0,
COD,onion,01253.02,2282.06591796875,10835.211,5261.1,997.525
COD,orange,01323,2641.01611328125,11302.21,15444.6,1111.3
COD,papaya,01317,2473.05419921875,12430.793,16945.8,934.6
