Animal,clipped_PA_surf,total_surf
Bf,0.0,0.0
Ch,590694.9375,1314760.8
Ct,122668.671875,487575.62
Dk,10472.4638671875,30945.729
Gt,117622.609375,363305.44
Ho,1034.182861328125,5062.5576
Pg,6910.6318359375,10654.946
Sh,17740.91796875,59214.047
