Animal,clipped_PA_surf,total_surf
Bf,0.0,0.0
Ch,7748793.5,33375904.0
Ct,3948696.5,14231402.0
Dk,121575.046875,662445.75
Gt,3992930.5,14213782.0
Ho,241.81640625,1117.8501
Pg,1052674.25,2492014.5
Sh,457172.6875,1910446.2
