Animal,clipped_PA_surf,total_surf
Bf,290.4757,650.6897
Ch,690254.1,1794341.2
Ct,95535.44,253934.1
Dk,184.1593,254.52707
Gt,32397.295,89758.37
Ho,6432.8965,18867.188
Pg,77817.66,194785.53
Sh,305293.44,735136.5
