Animal,clipped_PA_surf,total_surf
Bf,902460.1,5204058.0
Ch,9709163.0,50282984.0
Ct,1377063.0,7272359.5
Dk,119925.96,390698.28
Gt,1803805.6,10280148.0
Ho,4451.834,17677.242
Pg,247269.56,1206531.9
Sh,167137.0,782896.2
