Country Code (ISO3),item,macro_impact,type,physical_volume,physical_unit,bu_agri_output,Country Name,gdp2022,relative impact
AFG,alfalfa,,vegetal,,tonnes,,Afghanistan,14502158192.0904,
AFG,almond,,vegetal,7452.504807617188,tonnes,,Afghanistan,14502158192.0904,
AFG,aniseetc,,vegetal,299.951287109375,tonnes,,Afghanistan,14502158192.0904,
AFG,apple,,vegetal,68054.69178320313,tonnes,,Afghanistan,14502158192.0904,
AFG,apricot,,vegetal,26183.585515722654,tonnes,,Afghanistan,14502158192.0904,
AFG,artichoke,,vegetal,,tonnes,,Afghanistan,14502158192.0904,
AFG,asparagus,,vegetal,,tonnes,,Afghanistan,14502158192.0904,
AFG,banana,128097.9325000669,vegetal,213.24776510748615,tonnes,134993.5669529632,Afghanistan,14502158192.0904,0.9489187921428952
AFG,barley,31966522.95384625,vegetal,37066.93292421875,tonnes,127254548.54112001,Afghanistan,14502158192.0904,0.25120141731921547
AFG,bean,322023.6882214945,vegetal,272.7454110754395,tonnes,599959.6963502448,Afghanistan,14502158192.0904,0.53674220148532
AFG,beetfor,57164.82389821487,vegetal,59.23202144670486,tonnes,72651.68905310553,Afghanistan,14502158192.0904,0.7868340659833749
AFG,berrynes,,vegetal,1864.3948758117676,tonnes,,Afghanistan,14502158192.0904,
AFG,broadbean,5256.397077145571,vegetal,4.830803305896123,tonnes,8001.0668980161845,Afghanistan,14502158192.0904,0.656962020708621
AFG,buckwheat,,vegetal,,tonnes,,Afghanistan,14502158192.0904,
AFG,cabbagefor,0.0,vegetal,0.0,tonnes,0.0,Afghanistan,14502158192.0904,
AFG,cabbage,272803.1267693709,vegetal,981.8359790151914,tonnes,408896.2412477363,Afghanistan,14502158192.0904,0.6671695634494443
AFG,carrotfor,0.0,vegetal,0.0,tonnes,0.0,Afghanistan,14502158192.0904,
AFG,carrot,840398.5560198182,vegetal,1163.6645749374388,tonnes,1151954.5858090804,Afghanistan,14502158192.0904,0.7295413954444745
AFG,castor,,vegetal,,tonnes,,Afghanistan,14502158192.0904,
AFG,cauliflower,,vegetal,,tonnes,,Afghanistan,14502158192.0904,
AFG,cerealnes,,vegetal,,tonnes,,Afghanistan,14502158192.0904,
AFG,cherry,,vegetal,,tonnes,,Afghanistan,14502158192.0904,
AFG,chickpea,,vegetal,,tonnes,,Afghanistan,14502158192.0904,
AFG,chilleetc,12225.849305711465,vegetal,9.842886487168075,tonnes,17103.21531262091,Afghanistan,14502158192.0904,0.7148275386961709
AFG,citrusnes,,vegetal,169.8788602399826,tonnes,,Afghanistan,14502158192.0904,
AFG,cotton,11063434.149534374,vegetal,27063.195082031245,tonnes,38179966.87051679,Afghanistan,14502158192.0904,0.28977065870839563
AFG,cucumberetc,921804.1034376125,vegetal,1184.077204158783,tonnes,1233947.0017540106,Afghanistan,14502158192.0904,0.7470370300566408
AFG,date,324442.57493261725,vegetal,294.0922542898996,tonnes,460031.6690797777,Afghanistan,14502158192.0904,0.7052613912029458
AFG,eggplant,45244.28310208805,vegetal,82.00885100976626,tonnes,75604.97597098614,Afghanistan,14502158192.0904,0.598429964708286
AFG,fig,,vegetal,1220.4996620117186,tonnes,,Afghanistan,14502158192.0904,
AFG,fornes,,vegetal,,tonnes,,Afghanistan,14502158192.0904,
AFG,fruitnes,,vegetal,,tonnes,,Afghanistan,14502158192.0904,
AFG,garlic,43256.74300987714,vegetal,79.35560999794008,tonnes,61477.51405577436,Afghanistan,14502158192.0904,0.7036189357076678
AFG,grapefruitetc,,vegetal,,tonnes,,Afghanistan,14502158192.0904,
AFG,grape,330547061.029834,vegetal,192693.86791992188,tonnes,486167757.88446,Afghanistan,14502158192.0904,0.6799032960725256
AFG,grassnes,,vegetal,,tonnes,,Afghanistan,14502158192.0904,
AFG,greenbean,236280.31155856367,vegetal,172.10934301530662,tonnes,303286.23482782155,Afghanistan,14502158192.0904,0.7790670476446193
AFG,greenbroadbean,,vegetal,,tonnes,,Afghanistan,14502158192.0904,
AFG,greenpea,35442.9904865422,vegetal,42.84694207754134,tonnes,69852.0110235376,Afghanistan,14502158192.0904,0.5074011466126465
AFG,groundnut,57202.530715799214,vegetal,74.7318111743927,tonnes,95523.41398198731,Afghanistan,14502158192.0904,0.5988325618950952
