Animal,clipped_PA_surf,total_surf
Bf,1245.7328,3966.195
Ch,30419596.0,88501736.0
Ct,6654004.5,27385164.0
Dk,470855.3,1145785.8
Gt,614797.25,3598219.8
Ho,99447.664,271353.47
Pg,584160.06,2270200.8
Sh,16491694.0,70861496.0
