Animal,clipped_PA_surf,total_surf
Bf,0.0,0.0
Ch,764864.75,4787932.0
Ct,302869.34375,1336109.6
Dk,6058.9423828125,23655.055
Gt,898070.5625,2679274.8
Ho,0.0,0.0
Pg,481624.0625,1478448.8
Sh,254764.8125,711011.1
