Animal,clipped_PA_surf,total_surf
Bf,0.0,0.041933905
Ch,8274768.0,16445795.0
Ct,209860.0,1020536.06
Dk,11652.471,35443.34
Gt,5243.1357,15146.051
Ho,27741.492,97643.336
Pg,40515.137,168390.89
Sh,1743.4841,5445.99
