,Area Code (M49),Area,Item Code (CPC),Item,Volume,Unit
35,8,Albania,21121,"Meat of chickens, fresh or chilled",46681907.07253846,USD
36,8,Albania,21116,"Meat of goat, fresh or chilled",49483729.742857136,USD
37,8,Albania,21113.01,"Meat of pig with the bone, fresh or chilled",31353925.679999996,USD
38,8,Albania,21115,"Meat of sheep, fresh or chilled",110535473.2357,USD
39,8,Albania,21124,"Meat of turkeys, fresh or chilled",,USD
40,8,Albania,02910,Natural honey,,USD
41,8,Albania,21170.92,"Other meat n.e.c. (excluding mammals), fresh, chilled or frozen",,USD
42,8,Albania,02951.01,Raw hides and skins of cattle,,USD
43,8,Albania,02954,Raw hides and skins of goats or kids,,USD
44,8,Albania,02953,Raw hides and skins of sheep or lambs,,USD
45,8,Albania,02211,Raw milk of cattle,418224343.49408,USD
46,8,Albania,02292,Raw milk of goats,41609454.458,USD
47,8,Albania,02291,Raw milk of sheep,52827217.256142855,USD
48,8,Albania,21514,"Sheep fat, unrendered",,USD
49,8,Albania,02941,"Shorn wool, greasy, including fleece-washed shorn wool",2139533.54,USD
50,12,Algeria,21512,"Cattle fat, unrendered",,USD
51,12,Algeria,21151,"Edible offal of cattle, fresh, chilled or frozen",,USD
52,12,Algeria,21156,"Edible offal of goat, fresh, chilled or frozen",,USD
53,12,Algeria,21153,"Edible offal of pigs, fresh, chilled or frozen",,USD
54,12,Algeria,21155,"Edible offal of sheep, fresh, chilled or frozen",,USD
55,12,Algeria,21159.02,"Edible offals of camels and other camelids, fresh, chilled or frozen",,USD
56,12,Algeria,21159.01,"Edible offals of horses and other equines,  fresh, chilled or frozen",,USD
57,12,Algeria,21519.02,Fat of camels,,USD
58,12,Algeria,21511.01,Fat of pigs,,USD
59,12,Algeria,21515,"Goat fat, unrendered",,USD
60,12,Algeria,0231,"Hen eggs in shell, fresh",673238777.996,USD
61,12,Algeria,21118.01,"Horse meat, fresh or chilled",1499410.686,USD
62,12,Algeria,21117.01,"Meat of camels, fresh or chilled",,USD
63,12,Algeria,21111.01,"Meat of cattle with the bone, fresh or chilled",1018490669.667,USD
64,12,Algeria,21121,"Meat of chickens, fresh or chilled",1049096373.2080001,USD
65,12,Algeria,21116,"Meat of goat, fresh or chilled",98014650.272,USD
66,12,Algeria,21113.01,"Meat of pig with the bone, fresh or chilled",371756.50200000004,USD
67,12,Algeria,21114,"Meat of rabbits and hares, fresh or chilled",,USD
68,12,Algeria,21115,"Meat of sheep, fresh or chilled",3111782503.638,USD
69,12,Algeria,21124,"Meat of turkeys, fresh or chilled",,USD
70,12,Algeria,02910,Natural honey,,USD
71,12,Algeria,02951.01,Raw hides and skins of cattle,,USD
72,12,Algeria,02954,Raw hides and skins of goats or kids,,USD
73,12,Algeria,02953,Raw hides and skins of sheep or lambs,,USD
74,12,Algeria,02293,Raw milk of camel,,USD
75,12,Algeria,02211,Raw milk of cattle,1965638954.9586,USD
76,12,Algeria,02292,Raw milk of goats,755237861.4755,USD
77,12,Algeria,02291,Raw milk of sheep,1463595519.5723333,USD
78,12,Algeria,21514,"Sheep fat, unrendered",,USD
79,12,Algeria,02941,"Shorn wool, greasy, including fleece-washed shorn wool",51887054.562,USD
80,24,Angola,02960.01,Beeswax,,USD
81,24,Angola,21512,"Cattle fat, unrendered",,USD
82,24,Angola,21151,"Edible offal of cattle, fresh, chilled or frozen",,USD
83,24,Angola,21156,"Edible offal of goat, fresh, chilled or frozen",,USD
84,24,Angola,21153,"Edible offal of pigs, fresh, chilled or frozen",,USD
85,24,Angola,21155,"Edible offal of sheep, fresh, chilled or frozen",,USD
86,24,Angola,21511.01,Fat of pigs,,USD
87,24,Angola,21170.02,"Game meat, fresh, chilled or frozen",,USD
88,24,Angola,21515,"Goat fat, unrendered",,USD
89,24,Angola,0231,"Hen eggs in shell, fresh",308116059.044,USD
90,24,Angola,21111.01,"Meat of cattle with the bone, fresh or chilled",741675311.295,USD
91,24,Angola,21121,"Meat of chickens, fresh or chilled",223407952.872,USD
92,24,Angola,21116,"Meat of goat, fresh or chilled",102192989.86000001,USD
93,24,Angola,21113.01,"Meat of pig with the bone, fresh or chilled",582943928.7653999,USD
94,24,Angola,21115,"Meat of sheep, fresh or chilled",42734168.73899999,USD
95,24,Angola,02910,Natural honey,,USD
96,24,Angola,02951.01,Raw hides and skins of cattle,,USD
97,24,Angola,02954,Raw hides and skins of goats or kids,,USD
98,24,Angola,02953,Raw hides and skins of sheep or lambs,,USD
99,24,Angola,02211,Raw milk of cattle,180818801.3874,USD
100,24,Angola,21514,"Sheep fat, unrendered",,USD
101,28,Antigua and Barbuda,21512,"Cattle fat, unrendered",,USD
102,28,Antigua and Barbuda,21151,"Edible offal of cattle, fresh, chilled or frozen",,USD
103,28,Antigua and Barbuda,21156,"Edible offal of goat, fresh, chilled or frozen",,USD
104,28,Antigua and Barbuda,21153,"Edible offal of pigs, fresh, chilled or frozen",,USD
105,28,Antigua and Barbuda,21155,"Edible offal of sheep, fresh, chilled or frozen",,USD
106,28,Antigua and Barbuda,21511.01,Fat of pigs,,USD
107,28,Antigua and Barbuda,21515,"Goat fat, unrendered",,USD
108,28,Antigua and Barbuda,0231,"Hen eggs in shell, fresh",3091942.256135135,USD
109,28,Antigua and Barbuda,21111.01,"Meat of cattle with the bone, fresh or chilled",385340.97,USD
110,28,Antigua and Barbuda,21121,"Meat of chickens, fresh or chilled",242372.31437500002,USD
111,28,Antigua and Barbuda,21116,"Meat of goat, fresh or chilled",17786.66077777778,USD
112,28,Antigua and Barbuda,21113.01,"Meat of pig with the bone, fresh or chilled",125831.144,USD
113,28,Antigua and Barbuda,21115,"Meat of sheep, fresh or chilled",22705.9903125,USD
114,28,Antigua and Barbuda,02951.01,Raw hides and skins of cattle,,USD
115,28,Antigua and Barbuda,02954,Raw hides and skins of goats or kids,,USD
116,28,Antigua and Barbuda,02953,Raw hides and skins of sheep or lambs,,USD
117,28,Antigua and Barbuda,02211,Raw milk of cattle,1387554.8259500002,USD
118,28,Antigua and Barbuda,21514,"Sheep fat, unrendered",,USD
119,32,Argentina,02960.01,Beeswax,,USD
120,32,Argentina,21512,"Cattle fat, unrendered",,USD
121,32,Argentina,21151,"Edible offal of cattle, fresh, chilled or frozen",,USD
122,32,Argentina,21156,"Edible offal of goat, fresh, chilled or frozen",,USD
123,32,Argentina,21153,"Edible offal of pigs, fresh, chilled or frozen",,USD
124,32,Argentina,21155,"Edible offal of sheep, fresh, chilled or frozen",,USD
125,32,Argentina,21159.01,"Edible offals of horses and other equines,  fresh, chilled or frozen",,USD
126,32,Argentina,21511.01,Fat of pigs,,USD
127,32,Argentina,21170.02,"Game meat, fresh, chilled or frozen",,USD
128,32,Argentina,21515,"Goat fat, unrendered",,USD
129,32,Argentina,0231,"Hen eggs in shell, fresh",1871433890.11512,USD
130,32,Argentina,21118.01,"Horse meat, fresh or chilled",108321009.39999999,USD
131,32,Argentina,21118.02,"Meat of asses, fresh or chilled",,USD
132,32,Argentina,21111.01,"Meat of cattle with the bone, fresh or chilled",16416598116.675,USD
133,32,Argentina,21121,"Meat of chickens, fresh or chilled",6626970623.076923,USD
134,32,Argentina,21122,"Meat of ducks, fresh or chilled",21304486.888,USD
135,32,Argentina,21123,"Meat of geese, fresh or chilled",,USD
136,32,Argentina,21116,"Meat of goat, fresh or chilled",38234347.85657142,USD
137,32,Argentina,21118.03,"Meat of mules, fresh or chilled",,USD
138,32,Argentina,21113.01,"Meat of pig with the bone, fresh or chilled",2668078623.0,USD
139,32,Argentina,21114,"Meat of rabbits and hares, fresh or chilled",,USD
140,32,Argentina,21115,"Meat of sheep, fresh or chilled",264427239.79590002,USD
141,32,Argentina,21124,"Meat of turkeys, fresh or chilled",,USD
142,32,Argentina,02910,Natural honey,,USD
143,32,Argentina,21170.92,"Other meat n.e.c. (excluding mammals), fresh, chilled or frozen",,USD
144,32,Argentina,02951.01,Raw hides and skins of cattle,,USD
145,32,Argentina,02954,Raw hides and skins of goats or kids,,USD
146,32,Argentina,02953,Raw hides and skins of sheep or lambs,,USD
147,32,Argentina,02211,Raw milk of cattle,5859313925.536,USD
148,32,Argentina,21514,"Sheep fat, unrendered",,USD
149,32,Argentina,02941,"Shorn wool, greasy, including fleece-washed shorn wool",34725150.300000004,USD
150,51,Armenia,21512,"Cattle fat, unrendered",,USD
151,51,Armenia,21151,"Edible offal of cattle, fresh, chilled or frozen",,USD
152,51,Armenia,21156,"Edible offal of goat, fresh, chilled or frozen",,USD
153,51,Armenia,21153,"Edible offal of pigs, fresh, chilled or frozen",,USD
154,51,Armenia,21155,"Edible offal of sheep, fresh, chilled or frozen",,USD
155,51,Armenia,21511.01,Fat of pigs,,USD
156,51,Armenia,21515,"Goat fat, unrendered",,USD
157,51,Armenia,0231,"Hen eggs in shell, fresh",91676097.60000001,USD
158,51,Armenia,21111.01,"Meat of cattle with the bone, fresh or chilled",344773904.99999994,USD
159,51,Armenia,21121,"Meat of chickens, fresh or chilled",34006446.92307692,USD
160,51,Armenia,21116,"Meat of goat, fresh or chilled",178997.2517142857,USD
161,51,Armenia,21113.01,"Meat of pig with the bone, fresh or chilled",54956415.0,USD
162,51,Armenia,21114,"Meat of rabbits and hares, fresh or chilled",,USD
163,51,Armenia,21115,"Meat of sheep, fresh or chilled",69757092.0,USD
164,51,Armenia,02910,Natural honey,,USD
165,51,Armenia,02951.01,Raw hides and skins of cattle,,USD
166,51,Armenia,02954,Raw hides and skins of goats or kids,,USD
167,51,Armenia,02953,Raw hides and skins of sheep or lambs,,USD
168,51,Armenia,02211,Raw milk of cattle,298770256.0,USD
169,51,Armenia,02292,Raw milk of goats,1961740.0000000002,USD
170,51,Armenia,02291,Raw milk of sheep,32296346.999999996,USD
171,51,Armenia,21514,"Sheep fat, unrendered",,USD
172,51,Armenia,02941,"Shorn wool, greasy, including fleece-washed shorn wool",1020816.1436000001,USD
173,36,Australia,02960.01,Beeswax,,USD
174,36,Australia,21512,"Cattle fat, unrendered",,USD
175,36,Australia,21151,"Edible offal of cattle, fresh, chilled or frozen",,USD
176,36,Australia,21156,"Edible offal of goat, fresh, chilled or frozen",,USD
177,36,Australia,21153,"Edible offal of pigs, fresh, chilled or frozen",,USD
178,36,Australia,21155,"Edible offal of sheep, fresh, chilled or frozen",,USD
179,36,Australia,21159.01,"Edible offals of horses and other equines,  fresh, chilled or frozen",,USD
180,36,Australia,21511.01,Fat of pigs,,USD
181,36,Australia,21515,"Goat fat, unrendered",,USD
182,36,Australia,0231,"Hen eggs in shell, fresh",614517996.5944054,USD
183,36,Australia,21118.01,"Horse meat, fresh or chilled",47366240.58733333,USD
184,36,Australia,21111.01,"Meat of cattle with the bone, fresh or chilled",11546015502.0,USD
185,36,Australia,21121,"Meat of chickens, fresh or chilled",3737833391.5625,USD
186,36,Australia,21122,"Meat of ducks, fresh or chilled",102322049.04,USD
187,36,Australia,21116,"Meat of goat, fresh or chilled",192494952.74444446,USD
188,36,Australia,21113.01,"Meat of pig with the bone, fresh or chilled",1006049626.6666667,USD
189,36,Australia,21115,"Meat of sheep, fresh or chilled",4421757047.34375,USD
190,36,Australia,21124,"Meat of turkeys, fresh or chilled",,USD
191,36,Australia,02910,Natural honey,,USD
192,36,Australia,02951.01,Raw hides and skins of cattle,,USD
193,36,Australia,02954,Raw hides and skins of goats or kids,,USD
194,36,Australia,02953,Raw hides and skins of sheep or lambs,,USD
195,36,Australia,02211,Raw milk of cattle,5951271625.0,USD
196,36,Australia,21514,"Sheep fat, unrendered",,USD
197,36,Australia,02941,"Shorn wool, greasy, including fleece-washed shorn wool",257715750.0,USD
198,40,Austria,21111.01,"Meat of cattle with the bone, fresh or chilled",1291765230.0,USD
199,40,Austria,21116,"Meat of goat, fresh or chilled",4328312.888888889,USD
200,40,Austria,21113.01,"Meat of pig with the bone, fresh or chilled",1101420272.0,USD
201,40,Austria,21115,"Meat of sheep, fresh or chilled",40595558.4375,USD
202,40,Austria,02212,Raw milk of buffalo,0.0,USD
203,40,Austria,02211,Raw milk of cattle,2776673181.25,USD
204,40,Austria,02292,Raw milk of goats,35403854.5,USD
205,40,Austria,02291,Raw milk of sheep,15384390.700000003,USD
206,31,Azerbaijan,21512,"Cattle fat, unrendered",,USD
207,31,Azerbaijan,21151,"Edible offal of cattle, fresh, chilled or frozen",,USD
208,31,Azerbaijan,21153,"Edible offal of pigs, fresh, chilled or frozen",,USD
209,31,Azerbaijan,21155,"Edible offal of sheep, fresh, chilled or frozen",,USD
210,31,Azerbaijan,0232,"Eggs from other birds in shell, fresh, n.e.c.",,USD
211,31,Azerbaijan,21511.01,Fat of pigs,,USD
212,31,Azerbaijan,0231,"Hen eggs in shell, fresh",269440946.172,USD
213,31,Azerbaijan,21111.01,"Meat of cattle with the bone, fresh or chilled",778927039.05,USD
214,31,Azerbaijan,21121,"Meat of chickens, fresh or chilled",371807629.93846154,USD
215,31,Azerbaijan,21113.01,"Meat of pig with the bone, fresh or chilled",1851551.7,USD
216,31,Azerbaijan,21115,"Meat of sheep, fresh or chilled",575205354.4499999,USD
217,31,Azerbaijan,02910,Natural honey,,USD
218,31,Azerbaijan,21170.92,"Other meat n.e.c. (excluding mammals), fresh, chilled or frozen",,USD
219,31,Azerbaijan,02951.01,Raw hides and skins of cattle,,USD
220,31,Azerbaijan,02953,Raw hides and skins of sheep or lambs,,USD
221,31,Azerbaijan,02211,Raw milk of cattle,1097189712.5440001,USD
222,31,Azerbaijan,02292,Raw milk of goats,2685463.0,USD
223,31,Azerbaijan,02291,Raw milk of sheep,22657221.028571427,USD
224,31,Azerbaijan,21514,"Sheep fat, unrendered",,USD
225,31,Azerbaijan,02941,"Shorn wool, greasy, including fleece-washed shorn wool",14409726.404000001,USD
226,31,Azerbaijan,02944,Silk-worm cocoons suitable for reeling,,USD
227,44,Bahamas,21512,"Cattle fat, unrendered",,USD
228,44,Bahamas,21151,"Edible offal of cattle, fresh, chilled or frozen",,USD
229,44,Bahamas,21156,"Edible offal of goat, fresh, chilled or frozen",,USD
230,44,Bahamas,21153,"Edible offal of pigs, fresh, chilled or frozen",,USD
231,44,Bahamas,21155,"Edible offal of sheep, fresh, chilled or frozen",,USD
232,44,Bahamas,21511.01,Fat of pigs,,USD
233,44,Bahamas,21515,"Goat fat, unrendered",,USD
234,44,Bahamas,0231,"Hen eggs in shell, fresh",2404632.482189189,USD
235,44,Bahamas,21111.01,"Meat of cattle with the bone, fresh or chilled",111335.7525,USD
236,44,Bahamas,21121,"Meat of chickens, fresh or chilled",16637510.429375,USD
237,44,Bahamas,21116,"Meat of goat, fresh or chilled",497079.68333333335,USD
238,44,Bahamas,21113.01,"Meat of pig with the bone, fresh or chilled",788975.3386666668,USD
239,44,Bahamas,21115,"Meat of sheep, fresh or chilled",188528.525625,USD
240,44,Bahamas,02951.01,Raw hides and skins of cattle,,USD
241,44,Bahamas,02954,Raw hides and skins of goats or kids,,USD
242,44,Bahamas,02953,Raw hides and skins of sheep or lambs,,USD
243,44,Bahamas,02211,Raw milk of cattle,477468.05745,USD
244,44,Bahamas,02292,Raw milk of goats,1870668.6199999999,USD
245,44,Bahamas,21514,"Sheep fat, unrendered",,USD
246,48,Bahrain,21512,"Cattle fat, unrendered",,USD
247,48,Bahrain,21151,"Edible offal of cattle, fresh, chilled or frozen",,USD
248,48,Bahrain,21156,"Edible offal of goat, fresh, chilled or frozen",,USD
249,48,Bahrain,21155,"Edible offal of sheep, fresh, chilled or frozen",,USD
250,48,Bahrain,21159.02,"Edible offals of camels and other camelids, fresh, chilled or frozen",,USD
251,48,Bahrain,21519.02,Fat of camels,,USD
252,48,Bahrain,21515,"Goat fat, unrendered",,USD
253,48,Bahrain,0231,"Hen eggs in shell, fresh",11632002.769459458,USD
254,48,Bahrain,21117.01,"Meat of camels, fresh or chilled",,USD
255,48,Bahrain,21111.01,"Meat of cattle with the bone, fresh or chilled",4918261.4775,USD
256,48,Bahrain,21121,"Meat of chickens, fresh or chilled",23328781.25,USD
257,48,Bahrain,21116,"Meat of goat, fresh or chilled",1613581.519,USD
258,48,Bahrain,21115,"Meat of sheep, fresh or chilled",168046408.79343748,USD
259,48,Bahrain,02951.01,Raw hides and skins of cattle,,USD
260,48,Bahrain,02954,Raw hides and skins of goats or kids,,USD
261,48,Bahrain,02953,Raw hides and skins of sheep or lambs,,USD
262,48,Bahrain,02211,Raw milk of cattle,7453210.595875,USD
263,48,Bahrain,02292,Raw milk of goats,435693.854,USD
264,48,Bahrain,02291,Raw milk of sheep,212328.28020000004,USD
265,48,Bahrain,21514,"Sheep fat, unrendered",,USD
266,50,Bangladesh,21513,"Buffalo fat, unrendered",,USD
267,50,Bangladesh,21512,"Cattle fat, unrendered",,USD
268,50,Bangladesh,21152,"Edible offal of buffalo, fresh, chilled or frozen",,USD
269,50,Bangladesh,21151,"Edible offal of cattle, fresh, chilled or frozen",,USD
270,50,Bangladesh,21156,"Edible offal of goat, fresh, chilled or frozen",,USD
