,Area Code (M49),Area,Volume
0,4,Afghanistan,3189174390.9979997
1,8,Albania,1017515408.8608184
2,12,Algeria,10188853532.537434
3,24,Angola,2181889211.9628
4,28,Antigua and Barbuda,5273534.161550413
5,31,Azerbaijan,3134174644.287033
6,32,Argentina,33909407412.643513
7,36,Australia,27877344181.5391
8,40,Austria,5265570799.776389
9,44,Bahamas,22976198.88913919
10,48,Bahrain,217640268.53947192
11,50,Bangladesh,16953528592.376335
12,51,Armenia,929398112.9183912
13,52,Barbados,61992860.11597973
14,56,Belgium,8357005616.513889
15,64,Bhutan,71565260.70226666
16,68,Bolivia (Plurinational State of),5613308385.557567
17,70,Bosnia and Herzegovina,646188113.3300197
18,72,Botswana,331161388.1108905
19,76,Brazil,141079778008.98022
20,84,Belize,86777100.57178022
21,90,Solomon Islands,18993802.569799997
22,96,Brunei Darussalam,133486396.58969586
23,100,Bulgaria,1229589085.9134433
24,104,Myanmar,5459758866.997334
25,108,Burundi,294090130.93259996
26,112,Belarus,8923986433.40963
27,116,Cambodia,898566923.1689333
28,120,Cameroon,2300376393.1166334
29,124,Canada,26221256459.983124
30,132,Cabo Verde,41609126.5902
31,140,Central African Republic,989401613.9879333
32,144,Sri Lanka,1787893714.5761333
33,148,Chad,6193999670.006733
34,152,Chile,6735656344.527591
35,156,"China, mainland",417258185812.4422
36,158,"China, Taiwan Province of",5778347784.575126
37,170,Colombia,16378312155.383995
38,174,Comoros,26165628.3634
39,178,Congo,82663785.1646
40,180,Democratic Republic of the Congo,443758485.2676
41,184,Cook Islands,0.0
42,188,Costa Rica,1940722760.842333
43,191,Croatia,1099808413.9652777
44,192,Cuba,1631474009.4274921
45,196,Cyprus,545539162.2569444
46,203,Czechia,3747502563.494445
47,204,Benin,839586094.6678
48,208,Denmark,9101783740.531532
49,212,Dominica,11158753.236543957
50,214,Dominican Republic,2602799518.6262417
51,218,Ecuador,4704917855.1928425
52,222,El Salvador,1193778415.4398
53,226,Equatorial Guinea,3233800.8392216484
54,231,Ethiopia,7670910892.163767
55,232,Eritrea,350235859.3407
56,233,Estonia,845294525.3500376
57,234,Faroe Islands,9467014.8515625
58,242,Fiji,193907154.6248756
59,246,Finland,3099556315.8060813
60,250,France,35985237750.90833
61,258,French Polynesia,16565642.735270984
62,262,Djibouti,81912017.51539999
63,266,Gabon,48476989.4568589
64,268,Georgia,698218864.0989108
65,270,Gambia,70433906.81326666
66,275,Palestine,688463897.2776667
67,276,Germany,45267618549.899216
