Final product;Product Code;Year;Unit;Value;Type;Corresponding Item;Item Code (CPC);Country Expo;Global Expo
Rice and products;S2807;2022;millions of kcal;1955237550;vegetal;Rice;113;0.221247601330122;0.248455642710053
Wheat and products;S2511;2022;millions of kcal;1881116089;vegetal;Wheat;111;0.175726803896116;0.169645524788119
Vegetables;S2605;2022;millions of kcal;674854411.7;vegetal;COMPOSED;;0.191994588275402;0.246234845728443
Sugar raw equivalent;S2542;2022;millions of kcal;625863323.290001;vegetal;Sugar Cane;1802;0.244529638614358;0.259911469556864
Milk - excluding butter;S2848;2022;millions of kcal;505663716.9;animal;COMPOSED;;0.171230515041086;0.198546538899607
Fruits;S2625;2022;millions of kcal;468116516.2;vegetal;COMPOSED;;0.207984545229651;0.235098898008687
Corn and products;S2514;2022;millions of kcal;429386873.6;vegetal;Maize (corn);112;0.249269710343534;0.248552559388946
Pork meat;S2733;2022;millions of kcal;395031918.7;animal;Meat of pig with the bone, fresh or chilled;21113.01;0.12279279753259;0.161150825536351
Soybean;S2571;2022;millions of kcal;354058122.5;vegetal;Soya beans;141;0.243720955202287;0.280112868787176
Oil - nec;S2586;2022;millions of kcal;299705602.2;vegetal;COMPOSED;;0.26564929153763;0.263089499342281
Poultry meat;S2734;2022;millions of kcal;237518577;animal;Meat of chickens, fresh or chilled;21121;0.10822981062109;0.232351605708026
Potatoes and products;S2531;2022;millions of kcal;213196256.1;vegetal;Potatoes;1510;0.235906067668415;0.277453204312732
Nuts;S2552;2022;millions of kcal;207673783.2;vegetal;COMPOSED;;0.269466101892722;0.269334528687424
Palm oil;S2577;2022;millions of kcal;204949283.7;vegetal;Oil palm fruit;01491.01;0.243720955202287;0.280112868787176
Cassava and products;S2532;2022;millions of kcal;197045903.1;vegetal;Cassava, fresh;01520.01;0.25002316519359;0.271954048602608
Eggs;S2744;2022;millions of kcal;149226975.7;animal;Hen eggs in shell, fresh;231;0.276444148358467;0.310347176230008
Bovine meat;S2731;2022;millions of kcal;139898462.6;animal;Meat of cattle with the bone, fresh or chilled;21111.01;0.243473654181515;0.272175253849193
Legumenes;S2549;2022;millions of kcal;117740019.8;vegetal;COMPOSED;;0.203370396013505;0.208041912856173
Sorgho and products;S2518;2022;millions of kcal;115045618.1;vegetal;Sorghum;114;0.213358337240463;0.191285024563518
Sunflower oil;S2573;2022;millions of kcal;111782314.1;vegetal;Sunflower seed;1445;0.170482207833516;0.158315841318534
Rapeseed oil;S2574;2022;millions of kcal;108660438.3;vegetal;Rape or colza seed;1443;0.178668322622402;0.167269021022889
Others;XXX;2022;millions of kcal;1075597767.51;;COMPOSED;;;
