Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL,""Crops and livestock products"",""004"",""Afghanistan"",""5412"",""Yield"",""01371"",""Almonds, in shell"",""2022"",""2022"",""kg/ha"",""1742"",""A"",""Official figure"","""""
"QCL,""Crops and livestock products"",""004"",""Afghanistan"",""5412"",""Yield"",""01654"",""Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw"",""2022"",""2022"",""kg/ha"",""704"",""E"",""Estimated value"","""""
"QCL,""Crops and livestock products"",""004"",""Afghanistan"",""5412"",""Yield"",""01341"",""Apples"",""2022"",""2022"",""kg/ha"",""10556"",""A"",""Official figure"","""""
"QCL,""Crops and livestock products"",""004"",""Afghanistan"",""5412"",""Yield"",""01343"",""Apricots"",""2022"",""2022"",""kg/ha"",""6378.7"",""A"",""Official figure"","""""
"QCL,""Crops and livestock products"",""004"",""Afghanistan"",""5412"",""Yield"",""0115"",""Barley"",""2022"",""2022"",""kg/ha"",""1528.4"",""A"",""Official figure"","""""
"QCL,""Crops and livestock products"",""004"",""Afghanistan"",""5412"",""Yield"",""01229"",""Cantaloupes and other melons"",""2022"",""2022"",""kg/ha"",""10754.8"",""E"",""Estimated value"","""""
"QCL,""Crops and livestock products"",""004"",""Afghanistan"",""5412"",""Yield"",""01315"",""Figs"",""2022"",""2022"",""kg/ha"",""5929.9"",""E"",""Estimated value"","""""
"QCL,""Crops and livestock products"",""004"",""Afghanistan"",""5412"",""Yield"",""01330"",""Grapes"",""2022"",""2022"",""kg/ha"",""9825"",""A"",""Official figure"","""""
"QCL,""Crops and livestock products"",""004"",""Afghanistan"",""5410"",""Yield"",""0231"",""Hen eggs in shell, fresh"",""2022"",""2022"",""100 mg/An"",""21140"",""E"",""Estimated value"","""""
"QCL,""Crops and livestock products"",""004"",""Afghanistan"",""5413"",""Yield"",""0231"",""Hen eggs in shell, fresh"",""2022"",""2022"",""No/An"",""42"",""E"",""Estimated value"","""""
"QCL,""Crops and livestock products"",""004"",""Afghanistan"",""5412"",""Yield"",""01441"",""Linseed"",""2022"",""2022"",""kg/ha"",""904.3"",""A"",""Official figure"","""""
"QCL,""Crops and livestock products"",""004"",""Afghanistan"",""5412"",""Yield"",""0112"",""Maize (corn)"",""2022"",""2022"",""kg/ha"",""2237.4"",""A"",""Official figure"","""""
"QCL,""Crops and livestock products"",""004"",""Afghanistan"",""5417"",""Yield/Carcass Weight"",""21117.01"",""Meat of camels, fresh or chilled"",""2022"",""2022"",""100 g/An"",""1800"",""E"",""Estimated value"","""""
"QCL,""Crops and livestock products"",""004"",""Afghanistan"",""5417"",""Yield/Carcass Weight"",""21111.01"",""Meat of cattle with the bone, fresh or chilled"",""2022"",""2022"",""100 g/An"",""1438"",""E"",""Estimated value"","""""
"QCL,""Crops and livestock products"",""004"",""Afghanistan"",""5424"",""Yield/Carcass Weight"",""21121"",""Meat of chickens, fresh or chilled"",""2022"",""2022"",""0.1 g/An"",""8435"",""E"",""Estimated value"","""""
"QCL,""Crops and livestock products"",""004"",""Afghanistan"",""5417"",""Yield/Carcass Weight"",""21116"",""Meat of goat, fresh or chilled"",""2022"",""2022"",""100 g/An"",""130"",""E"",""Estimated value"","""""
"QCL,""Crops and livestock products"",""004"",""Afghanistan"",""5417"",""Yield/Carcass Weight"",""21115"",""Meat of sheep, fresh or chilled"",""2022"",""2022"",""100 g/An"",""152"",""E"",""Estimated value"","""""
"QCL,""Crops and livestock products"",""004"",""Afghanistan"",""5412"",""Yield"",""0118"",""Millet"",""2022"",""2022"",""kg/ha"",""1577.1"",""A"",""Official figure"","""""
"QCL,""Crops and livestock products"",""004"",""Afghanistan"",""5412"",""Yield"",""01442"",""Mustard seed"",""2022"",""2022"",""kg/ha"",""1223.1"",""A"",""Official figure"","""""
"QCL,""Crops and livestock products"",""004"",""Afghanistan"",""5412"",""Yield"",""01450"",""Olives"",""2022"",""2022"",""kg/ha"",""3503"",""E"",""Estimated value"","""""
"QCL,""Crops and livestock products"",""004"",""Afghanistan"",""5412"",""Yield"",""01253.02"",""Onions and shallots, dry (excluding dehydrated)"",""2022"",""2022"",""kg/ha"",""17755.2"",""A"",""Official figure"","""""
"QCL,""Crops and livestock products"",""004"",""Afghanistan"",""5412"",""Yield"",""01323"",""Oranges"",""2022"",""2022"",""kg/ha"",""5814.4"",""E"",""Estimated value"","""""
"QCL,""Crops and livestock products"",""004"",""Afghanistan"",""5412"",""Yield"",""01355.90"",""Other berries and fruits of the genus vaccinium n.e.c."",""2022"",""2022"",""kg/ha"",""4099.7"",""E"",""Estimated value"","""""
"QCL,""Crops and livestock products"",""004"",""Afghanistan"",""5412"",""Yield"",""01329"",""Other citrus fruit, n.e.c."",""2022"",""2022"",""kg/ha"",""9147.5"",""E"",""Estimated value"","""""
"QCL,""Crops and livestock products"",""004"",""Afghanistan"",""5412"",""Yield"",""01359.90"",""Other fruits, n.e.c."",""2022"",""2022"",""kg/ha"",""7407.9"",""E"",""Estimated value"","""""
"QCL,""Crops and livestock products"",""004"",""Afghanistan"",""5412"",""Yield"",""01379.90"",""Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c."",""2022"",""2022"",""kg/ha"",""838.7"",""E"",""Estimated value"","""""
"QCL,""Crops and livestock products"",""004"",""Afghanistan"",""5412"",""Yield"",""01709.90"",""Other pulses n.e.c."",""2022"",""2022"",""kg/ha"",""585.1"",""E"",""Estimated value"","""""
"QCL,""Crops and livestock products"",""004"",""Afghanistan"",""5412"",""Yield"",""01699"",""Other stimulant, spice and aromatic crops, n.e.c."",""2022"",""2022"",""kg/ha"",""1.4"",""E"",""Estimated value"","""""
"QCL,""Crops and livestock products"",""004"",""Afghanistan"",""5412"",""Yield"",""01349.20"",""Other stone fruits"",""2022"",""2022"",""kg/ha"",""7048.9"",""E"",""Estimated value"","""""
"QCL,""Crops and livestock products"",""004"",""Afghanistan"",""5412"",""Yield"",""01290.90"",""Other vegetables, fresh n.e.c."",""2022"",""2022"",""kg/ha"",""8995"",""E"",""Estimated value"","""""
"QCL,""Crops and livestock products"",""004"",""Afghanistan"",""5412"",""Yield"",""01345"",""Peaches and nectarines"",""2022"",""2022"",""kg/ha"",""10085.4"",""A"",""Official figure"","""""
"QCL,""Crops and livestock products"",""004"",""Afghanistan"",""5412"",""Yield"",""01342.01"",""Pears"",""2022"",""2022"",""kg/ha"",""8000"",""A"",""Official figure"","""""
"QCL,""Crops and livestock products"",""004"",""Afghanistan"",""5412"",""Yield"",""01375"",""Pistachios, in shell"",""2022"",""2022"",""kg/ha"",""1297.2"",""E"",""Estimated value"","""""
"QCL,""Crops and livestock products"",""004"",""Afghanistan"",""5412"",""Yield"",""01346"",""Plums and sloes"",""2022"",""2022"",""kg/ha"",""8653.9"",""E"",""Estimated value"","""""
"QCL,""Crops and livestock products"",""004"",""Afghanistan"",""5412"",""Yield"",""01510"",""Potatoes"",""2022"",""2022"",""kg/ha"",""15875"",""A"",""Official figure"","""""
"QCL,""Crops and livestock products"",""004"",""Afghanistan"",""5420"",""Yield"",""02951.01"",""Raw hides and skins of cattle"",""2022"",""2022"",""100 g/An"",""236"",""E"",""Estimated value"","""""
"QCL,""Crops and livestock products"",""004"",""Afghanistan"",""5420"",""Yield"",""02954"",""Raw hides and skins of goats or kids"",""2022"",""2022"",""100 g/An"",""20"",""E"",""Estimated value"","""""
"QCL,""Crops and livestock products"",""004"",""Afghanistan"",""5420"",""Yield"",""02953"",""Raw hides and skins of sheep or lambs"",""2022"",""2022"",""100 g/An"",""24"",""E"",""Estimated value"","""""
"QCL,""Crops and livestock products"",""004"",""Afghanistan"",""5420"",""Yield"",""02293"",""Raw milk of camel"",""2022"",""2022"",""100 g/An"",""3118"",""E"",""Estimated value"","""""
"QCL,""Crops and livestock products"",""004"",""Afghanistan"",""5420"",""Yield"",""02211"",""Raw milk of cattle"",""2022"",""2022"",""100 g/An"",""5264"",""E"",""Estimated value"","""""
"QCL,""Crops and livestock products"",""004"",""Afghanistan"",""5420"",""Yield"",""02292"",""Raw milk of goats"",""2022"",""2022"",""100 g/An"",""431"",""E"",""Estimated value"","""""
"QCL,""Crops and livestock products"",""004"",""Afghanistan"",""5420"",""Yield"",""02291"",""Raw milk of sheep"",""2022"",""2022"",""100 g/An"",""297"",""E"",""Estimated value"","""""
"QCL,""Crops and livestock products"",""004"",""Afghanistan"",""5412"",""Yield"",""0113"",""Rice"",""2022"",""2022"",""kg/ha"",""4625"",""A"",""Official figure"","""""
"QCL,""Crops and livestock products"",""004"",""Afghanistan"",""5412"",""Yield"",""01921.01"",""Seed cotton, unginned"",""2022"",""2022"",""kg/ha"",""1320.6"",""A"",""Official figure"","""""
"QCL,""Crops and livestock products"",""004"",""Afghanistan"",""5412"",""Yield"",""01444"",""Sesame seed"",""2022"",""2022"",""kg/ha"",""858.1"",""A"",""Official figure"","""""
"QCL,""Crops and livestock products"",""004"",""Afghanistan"",""5412"",""Yield"",""0141"",""Soya beans"",""2022"",""2022"",""kg/ha"",""1589.7"",""A"",""Official figure"","""""
"QCL,""Crops and livestock products"",""004"",""Afghanistan"",""5412"",""Yield"",""01801"",""Sugar beet"",""2022"",""2022"",""kg/ha"",""16839.7"",""A"",""Official figure"","""""
"QCL,""Crops and livestock products"",""004"",""Afghanistan"",""5412"",""Yield"",""01802"",""Sugar cane"",""2022"",""2022"",""kg/ha"",""34248.7"",""A"",""Official figure"","""""
"QCL,""Crops and livestock products"",""004"",""Afghanistan"",""5412"",""Yield"",""01445"",""Sunflower seed"",""2022"",""2022"",""kg/ha"",""1120.8"",""E"",""Estimated value"","""""
"QCL,""Crops and livestock products"",""004"",""Afghanistan"",""5412"",""Yield"",""01376"",""Walnuts, in shell"",""2022"",""2022"",""kg/ha"",""2356.3"",""A"",""Official figure"","""""
"QCL,""Crops and livestock products"",""004"",""Afghanistan"",""5412"",""Yield"",""01221"",""Watermelons"",""2022"",""2022"",""kg/ha"",""14667.2"",""E"",""Estimated value"","""""
"QCL,""Crops and livestock products"",""004"",""Afghanistan"",""5412"",""Yield"",""0111"",""Wheat"",""2022"",""2022"",""kg/ha"",""2045.3"",""A"",""Official figure"","""""
"QCL,""Crops and livestock products"",""008"",""Albania"",""5412"",""Yield"",""01341"",""Apples"",""2022"",""2022"",""kg/ha"",""24137.2"",""A"",""Official figure"","""""
"QCL,""Crops and livestock products"",""008"",""Albania"",""5412"",""Yield"",""01343"",""Apricots"",""2022"",""2022"",""kg/ha"",""15109.9"",""A"",""Official figure"","""""
"QCL,""Crops and livestock products"",""008"",""Albania"",""5412"",""Yield"",""0115"",""Barley"",""2022"",""2022"",""kg/ha"",""3397.2"",""A"",""Official figure"","""""
"QCL,""Crops and livestock products"",""008"",""Albania"",""5412"",""Yield"",""01701"",""Beans, dry"",""2022"",""2022"",""kg/ha"",""1675.5"",""A"",""Official figure"","""""
"QCL,""Crops and livestock products"",""008"",""Albania"",""5412"",""Yield"",""01702"",""Broad beans and horse beans, dry"",""2022"",""2022"",""kg/ha"",""1181.9"",""E"",""Estimated value"","""""
"QCL,""Crops and livestock products"",""008"",""Albania"",""5412"",""Yield"",""01243"",""Broad beans and horse beans, green"",""2022"",""2022"",""kg/ha"",""4992.5"",""E"",""Estimated value"","""""
"QCL,""Crops and livestock products"",""008"",""Albania"",""5412"",""Yield"",""01212"",""Cabbages"",""2022"",""2022"",""kg/ha"",""33855.8"",""A"",""Official figure"","""""
"QCL,""Crops and livestock products"",""008"",""Albania"",""5412"",""Yield"",""01229"",""Cantaloupes and other melons"",""2022"",""2022"",""kg/ha"",""31788.1"",""A"",""Official figure"","""""
"QCL,""Crops and livestock products"",""008"",""Albania"",""5412"",""Yield"",""01251"",""Carrots and turnips"",""2022"",""2022"",""kg/ha"",""29486.2"",""A"",""Official figure"","""""
"QCL,""Crops and livestock products"",""008"",""Albania"",""5412"",""Yield"",""01213"",""Cauliflowers and broccoli"",""2022"",""2022"",""kg/ha"",""20049.6"",""A"",""Official figure"","""""
"QCL,""Crops and livestock products"",""008"",""Albania"",""5412"",""Yield"",""01344.02"",""Cherries"",""2022"",""2022"",""kg/ha"",""10682.9"",""A"",""Official figure"","""""
"QCL,""Crops and livestock products"",""008"",""Albania"",""5412"",""Yield"",""01373"",""Chestnuts, in shell"",""2022"",""2022"",""kg/ha"",""2496.7"",""A"",""Official figure"","""""
"QCL,""Crops and livestock products"",""008"",""Albania"",""5412"",""Yield"",""01231"",""Chillies and peppers, green (Capsicum spp. and Pimenta spp.)"",""2022"",""2022"",""kg/ha"",""30818.8"",""A"",""Official figure"","""""
"QCL,""Crops and livestock products"",""008"",""Albania"",""5412"",""Yield"",""01232"",""Cucumbers and gherkins"",""2022"",""2022"",""kg/ha"",""47727.8"",""A"",""Official figure"","""""
"QCL,""Crops and livestock products"",""008"",""Albania"",""5412"",""Yield"",""01314"",""Dates"",""2022"",""2022"",""kg/ha"",""30342.9"",""A"",""Official figure"","""""
"QCL,""Crops and livestock products"",""008"",""Albania"",""5412"",""Yield"",""01233"",""Eggplants (aubergines)"",""2022"",""2022"",""kg/ha"",""28722.3"",""A"",""Official figure"","""""
"QCL,""Crops and livestock products"",""008"",""Albania"",""5412"",""Yield"",""01315"",""Figs"",""2022"",""2022"",""kg/ha"",""15477.6"",""A"",""Official figure"","""""
"QCL,""Crops and livestock products"",""008"",""Albania"",""5412"",""Yield"",""01330"",""Grapes"",""2022"",""2022"",""kg/ha"",""20454.7"",""A"",""Official figure"","""""
"QCL,""Crops and livestock products"",""008"",""Albania"",""5412"",""Yield"",""01252"",""Green garlic"",""2022"",""2022"",""kg/ha"",""16218.3"",""A"",""Official figure"","""""
"QCL,""Crops and livestock products"",""008"",""Albania"",""5410"",""Yield"",""0231"",""Hen eggs in shell, fresh"",""2022"",""2022"",""100 mg/An"",""96213"",""A"",""Official figure"","""""
"QCL,""Crops and livestock products"",""008"",""Albania"",""5413"",""Yield"",""0231"",""Hen eggs in shell, fresh"",""2022"",""2022"",""No/An"",""153"",""A"",""Official figure"","""""
"QCL,""Crops and livestock products"",""008"",""Albania"",""5412"",""Yield"",""01659"",""Hop cones"",""2022"",""2022"",""kg/ha"",""759.1"",""E"",""Estimated value"","""""
"QCL,""Crops and livestock products"",""008"",""Albania"",""5412"",""Yield"",""01254"",""Leeks and other alliaceous vegetables"",""2022"",""2022"",""kg/ha"",""25248.1"",""A"",""Official figure"","""""
"QCL,""Crops and livestock products"",""008"",""Albania"",""5412"",""Yield"",""01322"",""Lemons and limes"",""2022"",""2022"",""kg/ha"",""68023.5"",""A"",""Official figure"","""""
"QCL,""Crops and livestock products"",""008"",""Albania"",""5412"",""Yield"",""01214"",""Lettuce and chicory"",""2022"",""2022"",""kg/ha"",""21791.7"",""A"",""Official figure"","""""
"QCL,""Crops and livestock products"",""008"",""Albania"",""5412"",""Yield"",""0112"",""Maize (corn)"",""2022"",""2022"",""kg/ha"",""7090.1"",""A"",""Official figure"","""""
"QCL,""Crops and livestock products"",""008"",""Albania"",""5417"",""Yield/Carcass Weight"",""21111.01"",""Meat of cattle with the bone, fresh or chilled"",""2022"",""2022"",""100 g/An"",""1187"",""A"",""Official figure"","""""
"QCL,""Crops and livestock products"",""008"",""Albania"",""5424"",""Yield/Carcass Weight"",""21121"",""Meat of chickens, fresh or chilled"",""2022"",""2022"",""0.1 g/An"",""15345"",""A"",""Official figure"","""""
"QCL,""Crops and livestock products"",""008"",""Albania"",""5417"",""Yield/Carcass Weight"",""21116"",""Meat of goat, fresh or chilled"",""2022"",""2022"",""100 g/An"",""118"",""A"",""Official figure"","""""
