Domain Code;Domain;Area Code (M49);Area;Element Code;Element;Item Code (CPC);Item;Year Code;Year;Unit;Value;Flag;Flag Description;Note;Area Code (ISO3)
QCL;Crops and livestock products;004;Afghanistan;5412;Yield;01371;Almonds, in shell;2022;2022;kg/ha;1742.0;A;Official figure;;AFG
QCL;Crops and livestock products;004;Afghanistan;5412;Yield;01654;Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw;2022;2022;kg/ha;704.0;E;Estimated value;;AFG
QCL;Crops and livestock products;004;Afghanistan;5412;Yield;01341;Apples;2022;2022;kg/ha;10556.0;A;Official figure;;AFG
QCL;Crops and livestock products;004;Afghanistan;5412;Yield;01343;Apricots;2022;2022;kg/ha;6378.7;A;Official figure;;AFG
QCL;Crops and livestock products;004;Afghanistan;5412;Yield;0115;Barley;2022;2022;kg/ha;1528.4;A;Official figure;;AFG
QCL;Crops and livestock products;004;Afghanistan;5412;Yield;01229;Cantaloupes and other melons;2022;2022;kg/ha;10754.8;E;Estimated value;;AFG
QCL;Crops and livestock products;004;Afghanistan;5412;Yield;01315;Figs;2022;2022;kg/ha;5929.9;E;Estimated value;;AFG
QCL;Crops and livestock products;004;Afghanistan;5412;Yield;01330;Grapes;2022;2022;kg/ha;9825.0;A;Official figure;;AFG
QCL;Crops and livestock products;004;Afghanistan;5410;Yield;0231;Hen eggs in shell, fresh;2022;2022;100 mg/An;21140.0;E;Estimated value;;AFG
QCL;Crops and livestock products;004;Afghanistan;5413;Yield;0231;Hen eggs in shell, fresh;2022;2022;No/An;42.0;E;Estimated value;;AFG
QCL;Crops and livestock products;004;Afghanistan;5412;Yield;01441;Linseed;2022;2022;kg/ha;904.3;A;Official figure;;AFG
QCL;Crops and livestock products;004;Afghanistan;5412;Yield;0112;Maize (corn);2022;2022;kg/ha;2237.4;A;Official figure;;AFG
QCL;Crops and livestock products;004;Afghanistan;5417;Yield/Carcass Weight;21117.01;Meat of camels, fresh or chilled;2022;2022;100 g/An;1800.0;E;Estimated value;;AFG
QCL;Crops and livestock products;004;Afghanistan;5417;Yield/Carcass Weight;21111.01;Meat of cattle with the bone, fresh or chilled;2022;2022;100 g/An;1438.0;E;Estimated value;;AFG
QCL;Crops and livestock products;004;Afghanistan;5424;Yield/Carcass Weight;21121;Meat of chickens, fresh or chilled;2022;2022;0.1 g/An;8435.0;E;Estimated value;;AFG
QCL;Crops and livestock products;004;Afghanistan;5417;Yield/Carcass Weight;21116;Meat of goat, fresh or chilled;2022;2022;100 g/An;130.0;E;Estimated value;;AFG
QCL;Crops and livestock products;004;Afghanistan;5417;Yield/Carcass Weight;21115;Meat of sheep, fresh or chilled;2022;2022;100 g/An;152.0;E;Estimated value;;AFG
QCL;Crops and livestock products;004;Afghanistan;5412;Yield;0118;Millet;2022;2022;kg/ha;1577.1;A;Official figure;;AFG
QCL;Crops and livestock products;004;Afghanistan;5412;Yield;01442;Mustard seed;2022;2022;kg/ha;1223.1;A;Official figure;;AFG
QCL;Crops and livestock products;004;Afghanistan;5412;Yield;01450;Olives;2022;2022;kg/ha;3503.0;E;Estimated value;;AFG
QCL;Crops and livestock products;004;Afghanistan;5412;Yield;01253.02;Onions and shallots, dry (excluding dehydrated);2022;2022;kg/ha;17755.2;A;Official figure;;AFG
QCL;Crops and livestock products;004;Afghanistan;5412;Yield;01323;Oranges;2022;2022;kg/ha;5814.4;E;Estimated value;;AFG
QCL;Crops and livestock products;004;Afghanistan;5412;Yield;01355.90;Other berries and fruits of the genus vaccinium n.e.c.;2022;2022;kg/ha;4099.7;E;Estimated value;;AFG
QCL;Crops and livestock products;004;Afghanistan;5412;Yield;01329;Other citrus fruit, n.e.c.;2022;2022;kg/ha;9147.5;E;Estimated value;;AFG
QCL;Crops and livestock products;004;Afghanistan;5412;Yield;01359.90;Other fruits, n.e.c.;2022;2022;kg/ha;7407.9;E;Estimated value;;AFG
QCL;Crops and livestock products;004;Afghanistan;5412;Yield;01379.90;Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.;2022;2022;kg/ha;838.7;E;Estimated value;;AFG
QCL;Crops and livestock products;004;Afghanistan;5412;Yield;01709.90;Other pulses n.e.c.;2022;2022;kg/ha;585.1;E;Estimated value;;AFG
QCL;Crops and livestock products;004;Afghanistan;5412;Yield;01699;Other stimulant, spice and aromatic crops, n.e.c.;2022;2022;kg/ha;1.4;E;Estimated value;;AFG
QCL;Crops and livestock products;004;Afghanistan;5412;Yield;01349.20;Other stone fruits;2022;2022;kg/ha;7048.9;E;Estimated value;;AFG
