Domain Code;Domain;Area Code (M49);Area;Element Code;Element;Item Code (CPC);Item;Year Code;Year;Unit;Value;Flag;Flag Description;Note;Area Code (ISO3)
QCL;Crops and livestock products;004;Afghanistan;5412;Yield;01290.90;Other vegetables, fresh n.e.c.;2022;2022;kg/ha;8995.0;E;Estimated value;;AFG
QCL;Crops and livestock products;004;Afghanistan;5412;Yield;01345;Peaches and nectarines;2022;2022;kg/ha;10085.4;A;Official figure;;AFG
QCL;Crops and livestock products;004;Afghanistan;5412;Yield;01342.01;Pears;2022;2022;kg/ha;8000.0;A;Official figure;;AFG
QCL;Crops and livestock products;004;Afghanistan;5412;Yield;01375;Pistachios, in shell;2022;2022;kg/ha;1297.2;E;Estimated value;;AFG
QCL;Crops and livestock products;004;Afghanistan;5412;Yield;01346;Plums and sloes;2022;2022;kg/ha;8653.9;E;Estimated value;;AFG
QCL;Crops and livestock products;004;Afghanistan;5412;Yield;01510;Potatoes;2022;2022;kg/ha;15875.0;A;Official figure;;AFG
QCL;Crops and livestock products;004;Afghanistan;5420;Yield;02951.01;Raw hides and skins of cattle;2022;2022;100 g/An;236.0;E;Estimated value;;AFG
QCL;Crops and livestock products;004;Afghanistan;5420;Yield;02954;Raw hides and skins of goats or kids;2022;2022;100 g/An;20.0;E;Estimated value;;AFG
QCL;Crops and livestock products;004;Afghanistan;5420;Yield;02953;Raw hides and skins of sheep or lambs;2022;2022;100 g/An;24.0;E;Estimated value;;AFG
QCL;Crops and livestock products;004;Afghanistan;5420;Yield;02293;Raw milk of camel;2022;2022;100 g/An;3118.0;E;Estimated value;;AFG
QCL;Crops and livestock products;004;Afghanistan;5420;Yield;02211;Raw milk of cattle;2022;2022;100 g/An;5264.0;E;Estimated value;;AFG
QCL;Crops and livestock products;004;Afghanistan;5420;Yield;02292;Raw milk of goats;2022;2022;100 g/An;431.0;E;Estimated value;;AFG
QCL;Crops and livestock products;004;Afghanistan;5420;Yield;02291;Raw milk of sheep;2022;2022;100 g/An;297.0;E;Estimated value;;AFG
QCL;Crops and livestock products;004;Afghanistan;5412;Yield;0113;Rice;2022;2022;kg/ha;4625.0;A;Official figure;;AFG
QCL;Crops and livestock products;004;Afghanistan;5412;Yield;01921.01;Seed cotton, unginned;2022;2022;kg/ha;1320.6;A;Official figure;;AFG
QCL;Crops and livestock products;004;Afghanistan;5412;Yield;01444;Sesame seed;2022;2022;kg/ha;858.1;A;Official figure;;AFG
QCL;Crops and livestock products;004;Afghanistan;5412;Yield;0141;Soya beans;2022;2022;kg/ha;1589.7;A;Official figure;;AFG
QCL;Crops and livestock products;004;Afghanistan;5412;Yield;01801;Sugar beet;2022;2022;kg/ha;16839.7;A;Official figure;;AFG
QCL;Crops and livestock products;004;Afghanistan;5412;Yield;01802;Sugar cane;2022;2022;kg/ha;34248.7;A;Official figure;;AFG
QCL;Crops and livestock products;004;Afghanistan;5412;Yield;01445;Sunflower seed;2022;2022;kg/ha;1120.8;E;Estimated value;;AFG
QCL;Crops and livestock products;004;Afghanistan;5412;Yield;01376;Walnuts, in shell;2022;2022;kg/ha;2356.3;A;Official figure;;AFG
QCL;Crops and livestock products;004;Afghanistan;5412;Yield;01221;Watermelons;2022;2022;kg/ha;14667.2;E;Estimated value;;AFG
QCL;Crops and livestock products;004;Afghanistan;5412;Yield;0111;Wheat;2022;2022;kg/ha;2045.3;A;Official figure;;AFG
QCL;Crops and livestock products;008;Albania;5412;Yield;01341;Apples;2022;2022;kg/ha;24137.2;A;Official figure;;ALB
QCL;Crops and livestock products;008;Albania;5412;Yield;01343;Apricots;2022;2022;kg/ha;15109.9;A;Official figure;;ALB
QCL;Crops and livestock products;008;Albania;5412;Yield;0115;Barley;2022;2022;kg/ha;3397.2;A;Official figure;;ALB
QCL;Crops and livestock products;008;Albania;5412;Yield;01701;Beans, dry;2022;2022;kg/ha;1675.5;A;Official figure;;ALB
QCL;Crops and livestock products;008;Albania;5412;Yield;01702;Broad beans and horse beans, dry;2022;2022;kg/ha;1181.9;E;Estimated value;;ALB
QCL;Crops and livestock products;008;Albania;5412;Yield;01243;Broad beans and horse beans, green;2022;2022;kg/ha;4992.5;E;Estimated value;;ALB
QCL;Crops and livestock products;008;Albania;5412;Yield;01212;Cabbages;2022;2022;kg/ha;33855.8;A;Official figure;;ALB
QCL;Crops and livestock products;008;Albania;5412;Yield;01229;Cantaloupes and other melons;2022;2022;kg/ha;31788.1;A;Official figure;;ALB
QCL;Crops and livestock products;008;Albania;5412;Yield;01251;Carrots and turnips;2022;2022;kg/ha;29486.2;A;Official figure;;ALB
QCL;Crops and livestock products;008;Albania;5412;Yield;01213;Cauliflowers and broccoli;2022;2022;kg/ha;20049.6;A;Official figure;;ALB
QCL;Crops and livestock products;008;Albania;5412;Yield;01344.02;Cherries;2022;2022;kg/ha;10682.9;A;Official figure;;ALB
QCL;Crops and livestock products;008;Albania;5412;Yield;01373;Chestnuts, in shell;2022;2022;kg/ha;2496.7;A;Official figure;;ALB
QCL;Crops and livestock products;008;Albania;5412;Yield;01231;Chillies and peppers, green (Capsicum spp. and Pimenta spp.);2022;2022;kg/ha;30818.8;A;Official figure;;ALB
QCL;Crops and livestock products;008;Albania;5412;Yield;01232;Cucumbers and gherkins;2022;2022;kg/ha;47727.8;A;Official figure;;ALB
QCL;Crops and livestock products;008;Albania;5412;Yield;01314;Dates;2022;2022;kg/ha;30342.9;A;Official figure;;ALB
QCL;Crops and livestock products;008;Albania;5412;Yield;01233;Eggplants (aubergines);2022;2022;kg/ha;28722.3;A;Official figure;;ALB
QCL;Crops and livestock products;008;Albania;5412;Yield;01315;Figs;2022;2022;kg/ha;15477.6;A;Official figure;;ALB
QCL;Crops and livestock products;008;Albania;5412;Yield;01330;Grapes;2022;2022;kg/ha;20454.7;A;Official figure;;ALB
QCL;Crops and livestock products;008;Albania;5412;Yield;01252;Green garlic;2022;2022;kg/ha;16218.3;A;Official figure;;ALB
QCL;Crops and livestock products;008;Albania;5410;Yield;0231;Hen eggs in shell, fresh;2022;2022;100 mg/An;96213.0;A;Official figure;;ALB
QCL;Crops and livestock products;008;Albania;5413;Yield;0231;Hen eggs in shell, fresh;2022;2022;No/An;153.0;A;Official figure;;ALB
QCL;Crops and livestock products;008;Albania;5412;Yield;01659;Hop cones;2022;2022;kg/ha;759.1;E;Estimated value;;ALB
QCL;Crops and livestock products;008;Albania;5412;Yield;01254;Leeks and other alliaceous vegetables;2022;2022;kg/ha;25248.1;A;Official figure;;ALB
QCL;Crops and livestock products;008;Albania;5412;Yield;01322;Lemons and limes;2022;2022;kg/ha;68023.5;A;Official figure;;ALB
QCL;Crops and livestock products;008;Albania;5412;Yield;01214;Lettuce and chicory;2022;2022;kg/ha;21791.7;A;Official figure;;ALB
QCL;Crops and livestock products;008;Albania;5412;Yield;0112;Maize (corn);2022;2022;kg/ha;7090.1;A;Official figure;;ALB
QCL;Crops and livestock products;008;Albania;5417;Yield/Carcass Weight;21111.01;Meat of cattle with the bone, fresh or chilled;2022;2022;100 g/An;1187.0;A;Official figure;;ALB
QCL;Crops and livestock products;008;Albania;5424;Yield/Carcass Weight;21121;Meat of chickens, fresh or chilled;2022;2022;0.1 g/An;15345.0;A;Official figure;;ALB
QCL;Crops and livestock products;008;Albania;5417;Yield/Carcass Weight;21116;Meat of goat, fresh or chilled;2022;2022;100 g/An;118.0;A;Official figure;;ALB
QCL;Crops and livestock products;008;Albania;5417;Yield/Carcass Weight;21113.01;Meat of pig with the bone, fresh or chilled;2022;2022;100 g/An;648.0;A;Official figure;;ALB
QCL;Crops and livestock products;008;Albania;5417;Yield/Carcass Weight;21115;Meat of sheep, fresh or chilled;2022;2022;100 g/An;145.0;A;Official figure;;ALB
QCL;Crops and livestock products;008;Albania;5424;Yield/Carcass Weight;21124;Meat of turkeys, fresh or chilled;2022;2022;0.1 g/An;70000.0;A;Official figure;;ALB
QCL;Crops and livestock products;008;Albania;5412;Yield;0117;Oats;2022;2022;kg/ha;2270.3;A;Official figure;;ALB
QCL;Crops and livestock products;008;Albania;5412;Yield;01239.01;Okra;2022;2022;kg/ha;11205.8;E;Estimated value;;ALB
QCL;Crops and livestock products;008;Albania;5412;Yield;01450;Olives;2022;2022;kg/ha;3187.6;A;Official figure;;ALB
QCL;Crops and livestock products;008;Albania;5412;Yield;01253.02;Onions and shallots, dry (excluding dehydrated);2022;2022;kg/ha;20046.6;A;Official figure;;ALB
QCL;Crops and livestock products;008;Albania;5412;Yield;01253.01;Onions and shallots, green;2022;2022;kg/ha;22388.2;A;Official figure;;ALB
QCL;Crops and livestock products;008;Albania;5412;Yield;01323;Oranges;2022;2022;kg/ha;59558.3;A;Official figure;;ALB
QCL;Crops and livestock products;008;Albania;5412;Yield;01241.90;Other beans, green;2022;2022;kg/ha;13023.3;A;Official figure;;ALB
QCL;Crops and livestock products;008;Albania;5412;Yield;01329;Other citrus fruit, n.e.c.;2022;2022;kg/ha;26814.3;E;Estimated value;;ALB
QCL;Crops and livestock products;008;Albania;5412;Yield;01359.90;Other fruits, n.e.c.;2022;2022;kg/ha;25902.4;A;Official figure;;ALB
QCL;Crops and livestock products;008;Albania;5412;Yield;01379.90;Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.;2022;2022;kg/ha;9682.6;A;Official figure;;ALB
QCL;Crops and livestock products;008;Albania;5412;Yield;01709.90;Other pulses n.e.c.;2022;2022;kg/ha;615.9;E;Estimated value;;ALB
QCL;Crops and livestock products;008;Albania;5412;Yield;01699;Other stimulant, spice and aromatic crops, n.e.c.;2022;2022;kg/ha;871.9;E;Estimated value;;ALB
QCL;Crops and livestock products;008;Albania;5412;Yield;01290.90;Other vegetables, fresh n.e.c.;2022;2022;kg/ha;21453.3;A;Official figure;;ALB
QCL;Crops and livestock products;008;Albania;5412;Yield;01345;Peaches and nectarines;2022;2022;kg/ha;17219.9;A;Official figure;;ALB
QCL;Crops and livestock products;008;Albania;5412;Yield;01342.01;Pears;2022;2022;kg/ha;18860.2;A;Official figure;;ALB
QCL;Crops and livestock products;008;Albania;5412;Yield;01242;Peas, green;2022;2022;kg/ha;14551.8;A;Official figure;;ALB
QCL;Crops and livestock products;008;Albania;5412;Yield;01346;Plums and sloes;2022;2022;kg/ha;16951.2;A;Official figure;;ALB
QCL;Crops and livestock products;008;Albania;5412;Yield;01510;Potatoes;2022;2022;kg/ha;26505.9;A;Official figure;;ALB
QCL;Crops and livestock products;008;Albania;5412;Yield;01235;Pumpkins, squash and gourds;2022;2022;kg/ha;35065.7;A;Official figure;;ALB
QCL;Crops and livestock products;008;Albania;5412;Yield;01342.02;Quinces;2022;2022;kg/ha;58571.4;A;Official figure;;ALB
QCL;Crops and livestock products;008;Albania;5420;Yield;02951.01;Raw hides and skins of cattle;2022;2022;100 g/An;246.0;E;Estimated value;;ALB
QCL;Crops and livestock products;008;Albania;5420;Yield;02954;Raw hides and skins of goats or kids;2022;2022;100 g/An;28.0;E;Estimated value;;ALB
QCL;Crops and livestock products;008;Albania;5420;Yield;02953;Raw hides and skins of sheep or lambs;2022;2022;100 g/An;42.0;E;Estimated value;;ALB
QCL;Crops and livestock products;008;Albania;5420;Yield;02211;Raw milk of cattle;2022;2022;100 g/An;32079.0;A;Official figure;;ALB
QCL;Crops and livestock products;008;Albania;5420;Yield;02292;Raw milk of goats;2022;2022;100 g/An;1324.0;A;Official figure;;ALB
QCL;Crops and livestock products;008;Albania;5420;Yield;02291;Raw milk of sheep;2022;2022;100 g/An;652.0;A;Official figure;;ALB
QCL;Crops and livestock products;008;Albania;5412;Yield;0116;Rye;2022;2022;kg/ha;2372.4;A;Official figure;;ALB
QCL;Crops and livestock products;008;Albania;5412;Yield;01921.01;Seed cotton, unginned;2022;2022;kg/ha;1107.9;E;Estimated value;;ALB
QCL;Crops and livestock products;008;Albania;5412;Yield;01344.01;Sour cherries;2022;2022;kg/ha;5562.0;E;Estimated value;;ALB
QCL;Crops and livestock products;008;Albania;5412;Yield;0141;Soya beans;2022;2022;kg/ha;2870.3;A;Official figure;;ALB
QCL;Crops and livestock products;008;Albania;5412;Yield;01215;Spinach;2022;2022;kg/ha;16633.9;A;Official figure;;ALB
QCL;Crops and livestock products;008;Albania;5412;Yield;01354;Strawberries;2022;2022;kg/ha;48051.9;A;Official figure;;ALB
QCL;Crops and livestock products;008;Albania;5412;Yield;01801;Sugar beet;2022;2022;kg/ha;32250.4;A;Official figure;;ALB
QCL;Crops and livestock products;008;Albania;5412;Yield;01445;Sunflower seed;2022;2022;kg/ha;2369.4;A;Official figure;;ALB
QCL;Crops and livestock products;008;Albania;5412;Yield;01324;Tangerines, mandarins, clementines;2022;2022;kg/ha;32984.1;A;Official figure;;ALB
QCL;Crops and livestock products;008;Albania;5412;Yield;01234;Tomatoes;2022;2022;kg/ha;47305.2;A;Official figure;;ALB
QCL;Crops and livestock products;008;Albania;5412;Yield;01970;Unmanufactured tobacco;2022;2022;kg/ha;2152.6;A;Official figure;;ALB
QCL;Crops and livestock products;008;Albania;5412;Yield;01709.01;Vetches;2022;2022;kg/ha;284.0;E;Estimated value;;ALB
QCL;Crops and livestock products;008;Albania;5412;Yield;01221;Watermelons;2022;2022;kg/ha;46946.7;A;Official figure;;ALB
QCL;Crops and livestock products;008;Albania;5412;Yield;0111;Wheat;2022;2022;kg/ha;4296.3;A;Official figure;;ALB
QCL;Crops and livestock products;012;Algeria;5412;Yield;01371;Almonds, in shell;2022;2022;kg/ha;1720.5;E;Estimated value;;DZA
QCL;Crops and livestock products;012;Algeria;5412;Yield;01341;Apples;2022;2022;kg/ha;16834.0;E;Estimated value;;DZA
QCL;Crops and livestock products;012;Algeria;5412;Yield;01343;Apricots;2022;2022;kg/ha;6920.7;E;Estimated value;;DZA
QCL;Crops and livestock products;012;Algeria;5412;Yield;01216;Artichokes;2022;2022;kg/ha;22434.8;E;Estimated value;;DZA
QCL;Crops and livestock products;012;Algeria;5412;Yield;01312;Bananas;2022;2022;kg/ha;24649.3;E;Estimated value;;DZA
QCL;Crops and livestock products;012;Algeria;5412;Yield;0115;Barley;2022;2022;kg/ha;975.6;X;Figure from international organizations;;DZA
QCL;Crops and livestock products;012;Algeria;5412;Yield;01701;Beans, dry;2022;2022;kg/ha;941.2;E;Estimated value;;DZA
QCL;Crops and livestock products;012;Algeria;5412;Yield;01702;Broad beans and horse beans, dry;2022;2022;kg/ha;1224.5;E;Estimated value;;DZA
QCL;Crops and livestock products;012;Algeria;5412;Yield;01243;Broad beans and horse beans, green;2022;2022;kg/ha;8756.8;E;Estimated value;;DZA
QCL;Crops and livestock products;012;Algeria;5412;Yield;01212;Cabbages;2022;2022;kg/ha;32350.0;E;Estimated value;;DZA
QCL;Crops and livestock products;012;Algeria;5412;Yield;01251;Carrots and turnips;2022;2022;kg/ha;25833.2;E;Estimated value;;DZA
QCL;Crops and livestock products;012;Algeria;5412;Yield;01213;Cauliflowers and broccoli;2022;2022;kg/ha;26910.4;E;Estimated value;;DZA
QCL;Crops and livestock products;012;Algeria;5412;Yield;01344.02;Cherries;2022;2022;kg/ha;2934.7;E;Estimated value;;DZA
QCL;Crops and livestock products;012;Algeria;5412;Yield;01703;Chick peas, dry;2022;2022;kg/ha;1115.5;E;Estimated value;;DZA
QCL;Crops and livestock products;012;Algeria;5412;Yield;01652;Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw;2022;2022;kg/ha;3701.2;E;Estimated value;;DZA
QCL;Crops and livestock products;012;Algeria;5412;Yield;01231;Chillies and peppers, green (Capsicum spp. and Pimenta spp.);2022;2022;kg/ha;32913.0;E;Estimated value;;DZA
QCL;Crops and livestock products;012;Algeria;5412;Yield;01232;Cucumbers and gherkins;2022;2022;kg/ha;44166.5;E;Estimated value;;DZA
QCL;Crops and livestock products;012;Algeria;5412;Yield;01314;Dates;2022;2022;kg/ha;7092.9;E;Estimated value;;DZA
QCL;Crops and livestock products;012;Algeria;5412;Yield;01233;Eggplants (aubergines);2022;2022;kg/ha;31330.0;E;Estimated value;;DZA
QCL;Crops and livestock products;012;Algeria;5412;Yield;01315;Figs;2022;2022;kg/ha;2869.5;E;Estimated value;;DZA
QCL;Crops and livestock products;012;Algeria;5412;Yield;01330;Grapes;2022;2022;kg/ha;9704.8;E;Estimated value;;DZA
QCL;Crops and livestock products;012;Algeria;5412;Yield;01252;Green garlic;2022;2022;kg/ha;17902.5;E;Estimated value;;DZA
QCL;Crops and livestock products;012;Algeria;5412;Yield;0142;Groundnuts, excluding shelled;2022;2022;kg/ha;2879.5;E;Estimated value;;DZA
QCL;Crops and livestock products;012;Algeria;5410;Yield;0231;Hen eggs in shell, fresh;2022;2022;100 mg/An;133718.0;E;Estimated value;;DZA
QCL;Crops and livestock products;012;Algeria;5413;Yield;0231;Hen eggs in shell, fresh;2022;2022;No/An;267.0;E;Estimated value;;DZA
QCL;Crops and livestock products;012;Algeria;5417;Yield/Carcass Weight;21118.01;Horse meat, fresh or chilled;2022;2022;100 g/An;1333.0;E;Estimated value;;DZA
QCL;Crops and livestock products;012;Algeria;5412;Yield;01322;Lemons and limes;2022;2022;kg/ha;21427.9;E;Estimated value;;DZA
QCL;Crops and livestock products;012;Algeria;5412;Yield;01704;Lentils, dry;2022;2022;kg/ha;968.3;E;Estimated value;;DZA
QCL;Crops and livestock products;012;Algeria;5412;Yield;01356;Locust beans (carobs);2022;2022;kg/ha;4821.0;E;Estimated value;;DZA
QCL;Crops and livestock products;012;Algeria;5412;Yield;0112;Maize (corn);2022;2022;kg/ha;5500.0;X;Figure from international organizations;;DZA
QCL;Crops and livestock products;012;Algeria;5417;Yield/Carcass Weight;21117.01;Meat of camels, fresh or chilled;2022;2022;100 g/An;2376.0;E;Estimated value;;DZA
QCL;Crops and livestock products;012;Algeria;5417;Yield/Carcass Weight;21111.01;Meat of cattle with the bone, fresh or chilled;2022;2022;100 g/An;2200.0;E;Estimated value;;DZA
QCL;Crops and livestock products;012;Algeria;5424;Yield/Carcass Weight;21121;Meat of chickens, fresh or chilled;2022;2022;0.1 g/An;10952.0;E;Estimated value;;DZA
QCL;Crops and livestock products;012;Algeria;5417;Yield/Carcass Weight;21116;Meat of goat, fresh or chilled;2022;2022;100 g/An;208.0;E;Estimated value;;DZA
QCL;Crops and livestock products;012;Algeria;5417;Yield/Carcass Weight;21113.01;Meat of pig with the bone, fresh or chilled;2022;2022;100 g/An;385.0;E;Estimated value;;DZA
QCL;Crops and livestock products;012;Algeria;5424;Yield/Carcass Weight;21114;Meat of rabbits and hares, fresh or chilled;2022;2022;0.1 g/An;10000.0;E;Estimated value;;DZA
QCL;Crops and livestock products;012;Algeria;5417;Yield/Carcass Weight;21115;Meat of sheep, fresh or chilled;2022;2022;100 g/An;193.0;E;Estimated value;;DZA
QCL;Crops and livestock products;012;Algeria;5424;Yield/Carcass Weight;21124;Meat of turkeys, fresh or chilled;2022;2022;0.1 g/An;48075.0;E;Estimated value;;DZA
QCL;Crops and livestock products;012;Algeria;5412;Yield;0117;Oats;2022;2022;kg/ha;1012.5;X;Figure from international organizations;;DZA
QCL;Crops and livestock products;012;Algeria;5412;Yield;01450;Olives;2022;2022;kg/ha;1804.6;E;Estimated value;;DZA
QCL;Crops and livestock products;012;Algeria;5412;Yield;01253.02;Onions and shallots, dry (excluding dehydrated);2022;2022;kg/ha;35294.6;E;Estimated value;;DZA
QCL;Crops and livestock products;012;Algeria;5412;Yield;01253.01;Onions and shallots, green;2022;2022;kg/ha;10818.8;E;Estimated value;;DZA
QCL;Crops and livestock products;012;Algeria;5412;Yield;01323;Oranges;2022;2022;kg/ha;25227.7;E;Estimated value;;DZA
QCL;Crops and livestock products;012;Algeria;5412;Yield;01241.90;Other beans, green;2022;2022;kg/ha;7041.5;E;Estimated value;;DZA
QCL;Crops and livestock products;012;Algeria;5412;Yield;01329;Other citrus fruit, n.e.c.;2022;2022;kg/ha;1322.0;E;Estimated value;;DZA
QCL;Crops and livestock products;012;Algeria;5412;Yield;01359.90;Other fruits, n.e.c.;2022;2022;kg/ha;8479.5;E;Estimated value;;DZA
QCL;Crops and livestock products;012;Algeria;5412;Yield;01709.90;Other pulses n.e.c.;2022;2022;kg/ha;940.7;E;Estimated value;;DZA
QCL;Crops and livestock products;012;Algeria;5412;Yield;01349.20;Other stone fruits;2022;2022;kg/ha;13759.9;E;Estimated value;;DZA
QCL;Crops and livestock products;012;Algeria;5412;Yield;01290.90;Other vegetables, fresh n.e.c.;2022;2022;kg/ha;25241.9;E;Estimated value;;DZA
QCL;Crops and livestock products;012;Algeria;5412;Yield;01345;Peaches and nectarines;2022;2022;kg/ha;11508.6;E;Estimated value;;DZA
QCL;Crops and livestock products;012;Algeria;5412;Yield;01342.01;Pears;2022;2022;kg/ha;8416.2;E;Estimated value;;DZA
QCL;Crops and livestock products;012;Algeria;5412;Yield;01705;Peas, dry;2022;2022;kg/ha;1010.2;E;Estimated value;;DZA
QCL;Crops and livestock products;012;Algeria;5412;Yield;01242;Peas, green;2022;2022;kg/ha;5550.2;E;Estimated value;;DZA
QCL;Crops and livestock products;012;Algeria;5412;Yield;01346;Plums and sloes;2022;2022;kg/ha;8324.7;E;Estimated value;;DZA
QCL;Crops and livestock products;012;Algeria;5412;Yield;01321;Pomelos and grapefruits;2022;2022;kg/ha;25170.6;E;Estimated value;;DZA
QCL;Crops and livestock products;012;Algeria;5412;Yield;01510;Potatoes;2022;2022;kg/ha;32845.8;E;Estimated value;;DZA
QCL;Crops and livestock products;012;Algeria;5412;Yield;01235;Pumpkins, squash and gourds;2022;2022;kg/ha;25878.3;E;Estimated value;;DZA
QCL;Crops and livestock products;012;Algeria;5412;Yield;01342.02;Quinces;2022;2022;kg/ha;6974.1;E;Estimated value;;DZA
QCL;Crops and livestock products;012;Algeria;5412;Yield;01443;Rape or colza seed;2022;2022;kg/ha;1943.9;E;Estimated value;;DZA
QCL;Crops and livestock products;012;Algeria;5420;Yield;02951.01;Raw hides and skins of cattle;2022;2022;100 g/An;267.0;E;Estimated value;;DZA
QCL;Crops and livestock products;012;Algeria;5420;Yield;02954;Raw hides and skins of goats or kids;2022;2022;100 g/An;42.0;E;Estimated value;;DZA
QCL;Crops and livestock products;012;Algeria;5420;Yield;02953;Raw hides and skins of sheep or lambs;2022;2022;100 g/An;30.0;E;Estimated value;;DZA
QCL;Crops and livestock products;012;Algeria;5420;Yield;02293;Raw milk of camel;2022;2022;100 g/An;1541.0;E;Estimated value;;DZA
QCL;Crops and livestock products;012;Algeria;5420;Yield;02211;Raw milk of cattle;2022;2022;100 g/An;25957.0;E;Estimated value;;DZA
QCL;Crops and livestock products;012;Algeria;5420;Yield;02292;Raw milk of goats;2022;2022;100 g/An;1153.0;E;Estimated value;;DZA
QCL;Crops and livestock products;012;Algeria;5420;Yield;02291;Raw milk of sheep;2022;2022;100 g/An;287.0;E;Estimated value;;DZA
QCL;Crops and livestock products;012;Algeria;5412;Yield;0113;Rice;2022;2022;kg/ha;1789.9;E;Estimated value;;DZA
QCL;Crops and livestock products;012;Algeria;5412;Yield;01921.01;Seed cotton, unginned;2022;2022;kg/ha;310.4;E;Estimated value;;DZA
QCL;Crops and livestock products;012;Algeria;5412;Yield;0114;Sorghum;2022;2022;kg/ha;7922.1;E;Estimated value;;DZA
