Country Group,Item Code (CPC),average yield Value,average producer price Value
High-income economies,0111,5010.718604651162,398.3225
High-income economies,0112,8541.89534883721,555.3896551724138
High-income economies,0113,5481.89,672.4214285714286
High-income economies,0114,7057.466666666666,266.0
High-income economies,0115,5030.769047619047,345.6111111111111
High-income economies,0116,3740.416129032258,288.6727272727273
High-income economies,0117,3490.161111111111,292.146875
High-income economies,0118,1499.5,712.3
High-income economies,01191,4254.734482758621,299.18888888888887
High-income economies,01192,868.625,1069.8166666666666
High-income economies,01195,1044.7,767.3000000000001
High-income economies,01199.02,3495.5833333333335,326.35
High-income economies,01199.90,3365.5153846153844,384.6
High-income economies,01211,4712.442857142857,4881.942857142857
High-income economies,01212,29058.97454545455,680.51
High-income economies,01213,15654.957777777778,1137.9029411764704
High-income economies,01214,22478.057999999997,1814.7571428571428
High-income economies,01215,13328.339473684211,1672.038888888889
High-income economies,01216,9923.277777777777,1815.5777777777778
High-income economies,01221,28663.5,668.3809523809524
High-income economies,01229,21919.457575757577,1050.085
High-income economies,01231,59508.045454545456,2074.54
High-income economies,01232,116664.125,1217.221052631579
High-income economies,01233,63832.28125,1289.0222222222224
High-income economies,01234,123140.0625,1693.45
High-income economies,01235,21817.884,891.9272727272728
High-income economies,01239.01,10727.028571428571,2600.4375
High-income economies,01241.01,7814.76,3714.9666666666667
High-income economies,01241.90,8462.958333333334,2146.4700000000003
High-income economies,01242,5509.702857142857,2057.6555555555556
High-income economies,01243,7116.066666666667,1757.2142857142858
High-income economies,01251,40132.882000000005,748.8425
High-income economies,01252,8699.83548387097,3903.189473684211
High-income economies,01253.01,18311.90625,1405.1
High-income economies,01253.02,32316.55,604.7878787878788
High-income economies,01254,25488.86,1267.942105263158
High-income economies,01290.01,9573.690476190477,1942.4875
High-income economies,01290.90,16928.54375,1537.5090909090907
High-income economies,01311,9220.370588235293,2817.4875
High-income economies,01312,23324.530434782606,1219.4818181818182
High-income economies,01314,13003.125,2949.7333333333336
High-income economies,01315,6856.9,2526.5555555555557
High-income economies,01316,12773.033333333333,5767.2
High-income economies,01317,21720.735714285714,1274.45
High-income economies,01318,26224.05,2350.7374999999997
High-income economies,01319,8348.711764705882,911.6
High-income economies,01321,24729.95882352941,753.6999999999999
High-income economies,01322,16978.975,1324.875
High-income economies,01323,16889.508333333335,736.31875
High-income economies,01324,19079.377777777776,973.0200000000001
High-income economies,01329,12457.342857142856,1606.5333333333335
High-income economies,01330,9425.10294117647,1627.7190476190476
High-income economies,01341,25035.310526315792,863.1138888888889
High-income economies,01342.01,19867.33611111111,1119.4366666666667
High-income economies,01342.02,22195.766666666666,1363.85
High-income economies,01343,7195.604347826086,2035.1950000000002
High-income economies,01344.01,9893.895454545454,1800.675
High-income economies,01344.02,6580.727586206896,3953.42
