,Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note,Country Group
1145,QCL,Crops and livestock products,208,Denmark,5510,Production,02212,Raw milk of buffalo,2022,2022,t,0.0,A,Official figure,,High-income economies
1146,QCL,Crops and livestock products,208,Denmark,5510,Production,02211,Raw milk of cattle,2022,2022,t,5664000.0,A,Official figure,,High-income economies
1147,QCL,Crops and livestock products,208,Denmark,5510,Production,02292,Raw milk of goats,2022,2022,t,0.0,A,Official figure,,High-income economies
1148,QCL,Crops and livestock products,208,Denmark,5510,Production,02291,Raw milk of sheep,2022,2022,t,0.0,A,Official figure,,High-income economies
1149,QCL,Crops and livestock products,262,Djibouti,5510,Production,21512,"Cattle fat, unrendered",2022,2022,t,235.05,I,Imputed value,,Lower-middle-income economies
1150,QCL,Crops and livestock products,262,Djibouti,5510,Production,21151,"Edible offal of cattle, fresh, chilled or frozen",2022,2022,t,1147.59,I,Imputed value,,Lower-middle-income economies
1151,QCL,Crops and livestock products,262,Djibouti,5510,Production,21156,"Edible offal of goat, fresh, chilled or frozen",2022,2022,t,463.75,I,Imputed value,,Lower-middle-income economies
1152,QCL,Crops and livestock products,262,Djibouti,5510,Production,21155,"Edible offal of sheep, fresh, chilled or frozen",2022,2022,t,435.69,I,Imputed value,,Lower-middle-income economies
1153,QCL,Crops and livestock products,262,Djibouti,5510,Production,21159.02,"Edible offals of camels and other camelids, fresh, chilled or frozen",2022,2022,t,114.67,I,Imputed value,,Lower-middle-income economies
1154,QCL,Crops and livestock products,262,Djibouti,5510,Production,21519.02,Fat of camels,2022,2022,t,44.94,I,Imputed value,,Lower-middle-income economies
1155,QCL,Crops and livestock products,262,Djibouti,5510,Production,21515,"Goat fat, unrendered",2022,2022,t,94.74,I,Imputed value,,Lower-middle-income economies
1156,QCL,Crops and livestock products,262,Djibouti,5510,Production,21117.01,"Meat of camels, fresh or chilled",2022,2022,t,681.8,I,Imputed value,,Lower-middle-income economies
1157,QCL,Crops and livestock products,262,Djibouti,5510,Production,21111.01,"Meat of cattle with the bone, fresh or chilled",2022,2022,t,6221.87,I,Imputed value,,Lower-middle-income economies
1158,QCL,Crops and livestock products,262,Djibouti,5510,Production,21116,"Meat of goat, fresh or chilled",2022,2022,t,2293.81,I,Imputed value,,Lower-middle-income economies
1159,QCL,Crops and livestock products,262,Djibouti,5510,Production,21115,"Meat of sheep, fresh or chilled",2022,2022,t,2247.26,I,Imputed value,,Lower-middle-income economies
1160,QCL,Crops and livestock products,262,Djibouti,5510,Production,02951.01,Raw hides and skins of cattle,2022,2022,t,1147.59,I,Imputed value,,Lower-middle-income economies
1161,QCL,Crops and livestock products,262,Djibouti,5510,Production,02954,Raw hides and skins of goats or kids,2022,2022,t,463.75,I,Imputed value,,Lower-middle-income economies
1162,QCL,Crops and livestock products,262,Djibouti,5510,Production,02953,Raw hides and skins of sheep or lambs,2022,2022,t,435.69,I,Imputed value,,Lower-middle-income economies
1163,QCL,Crops and livestock products,262,Djibouti,5510,Production,02293,Raw milk of camel,2022,2022,t,6062.26,I,Imputed value,,Lower-middle-income economies
1164,QCL,Crops and livestock products,262,Djibouti,5510,Production,02211,Raw milk of cattle,2022,2022,t,8881.23,I,Imputed value,,Lower-middle-income economies
1165,QCL,Crops and livestock products,262,Djibouti,5510,Production,21514,"Sheep fat, unrendered",2022,2022,t,110.07,I,Imputed value,,Lower-middle-income economies
1166,QCL,Crops and livestock products,262,Djibouti,5510,Production,02944,Silk-worm cocoons suitable for reeling,2022,2022,t,0.0,M,"Missing value (data cannot exist, not applicable)",,Lower-middle-income economies
1167,QCL,Crops and livestock products,212,Dominica,5510,Production,21512,"Cattle fat, unrendered",2022,2022,t,14.38,I,Imputed value,,Upper-middle-income economies
1168,QCL,Crops and livestock products,212,Dominica,5510,Production,21151,"Edible offal of cattle, fresh, chilled or frozen",2022,2022,t,67.45,I,Imputed value,,Upper-middle-income economies
1169,QCL,Crops and livestock products,212,Dominica,5510,Production,21156,"Edible offal of goat, fresh, chilled or frozen",2022,2022,t,9.74,I,Imputed value,,Upper-middle-income economies
1170,QCL,Crops and livestock products,212,Dominica,5510,Production,21153,"Edible offal of pigs, fresh, chilled or frozen",2022,2022,t,17.93,I,Imputed value,,Upper-middle-income economies
1171,QCL,Crops and livestock products,212,Dominica,5510,Production,21155,"Edible offal of sheep, fresh, chilled or frozen",2022,2022,t,6.37,I,Imputed value,,Upper-middle-income economies
1172,QCL,Crops and livestock products,212,Dominica,5510,Production,21511.01,Fat of pigs,2022,2022,t,28.17,I,Imputed value,,Upper-middle-income economies
1173,QCL,Crops and livestock products,212,Dominica,5510,Production,21515,"Goat fat, unrendered",2022,2022,t,1.68,I,Imputed value,,Upper-middle-income economies
1174,QCL,Crops and livestock products,212,Dominica,5510,Production,0231,"Hen eggs in shell, fresh",2022,2022,t,791.29,E,Estimated value,,Upper-middle-income economies
1176,QCL,Crops and livestock products,212,Dominica,5510,Production,21111.01,"Meat of cattle with the bone, fresh or chilled",2022,2022,t,552.9,I,Imputed value,,Upper-middle-income economies
1177,QCL,Crops and livestock products,212,Dominica,5510,Production,21121,"Meat of chickens, fresh or chilled",2022,2022,t,370.72,I,Imputed value,,Upper-middle-income economies
1178,QCL,Crops and livestock products,212,Dominica,5510,Production,21116,"Meat of goat, fresh or chilled",2022,2022,t,40.75,I,Imputed value,,Upper-middle-income economies
1179,QCL,Crops and livestock products,212,Dominica,5510,Production,21113.01,"Meat of pig with the bone, fresh or chilled",2022,2022,t,422.57,I,Imputed value,,Upper-middle-income economies
1180,QCL,Crops and livestock products,212,Dominica,5510,Production,21115,"Meat of sheep, fresh or chilled",2022,2022,t,26.65,I,Imputed value,,Upper-middle-income economies
1181,QCL,Crops and livestock products,212,Dominica,5510,Production,02951.01,Raw hides and skins of cattle,2022,2022,t,67.45,I,Imputed value,,Upper-middle-income economies
1182,QCL,Crops and livestock products,212,Dominica,5510,Production,02954,Raw hides and skins of goats or kids,2022,2022,t,8.5,I,Imputed value,,Upper-middle-income economies
1183,QCL,Crops and livestock products,212,Dominica,5510,Production,02953,Raw hides and skins of sheep or lambs,2022,2022,t,5.79,I,Imputed value,,Upper-middle-income economies
1184,QCL,Crops and livestock products,212,Dominica,5510,Production,02211,Raw milk of cattle,2022,2022,t,7012.01,I,Imputed value,,Upper-middle-income economies
1185,QCL,Crops and livestock products,212,Dominica,5510,Production,21514,"Sheep fat, unrendered",2022,2022,t,1.56,I,Imputed value,,Upper-middle-income economies
1186,QCL,Crops and livestock products,214,Dominican Republic,5510,Production,02960.01,Beeswax,2022,2022,t,1116.19,E,Estimated value,,Upper-middle-income economies
1187,QCL,Crops and livestock products,214,Dominican Republic,5510,Production,21512,"Cattle fat, unrendered",2022,2022,t,1658.92,I,Imputed value,,Upper-middle-income economies
1188,QCL,Crops and livestock products,214,Dominican Republic,5510,Production,21151,"Edible offal of cattle, fresh, chilled or frozen",2022,2022,t,8805.05,I,Imputed value,,Upper-middle-income economies
1189,QCL,Crops and livestock products,214,Dominican Republic,5510,Production,21156,"Edible offal of goat, fresh, chilled or frozen",2022,2022,t,119.79,I,Imputed value,,Upper-middle-income economies
1190,QCL,Crops and livestock products,214,Dominican Republic,5510,Production,21153,"Edible offal of pigs, fresh, chilled or frozen",2022,2022,t,3432.59,I,Imputed value,,Upper-middle-income economies
1191,QCL,Crops and livestock products,214,Dominican Republic,5510,Production,21155,"Edible offal of sheep, fresh, chilled or frozen",2022,2022,t,228.56,I,Imputed value,,Upper-middle-income economies
1192,QCL,Crops and livestock products,214,Dominican Republic,5510,Production,21511.01,Fat of pigs,2022,2022,t,8009.38,I,Imputed value,,Upper-middle-income economies
1193,QCL,Crops and livestock products,214,Dominican Republic,5510,Production,21515,"Goat fat, unrendered",2022,2022,t,14.3,I,Imputed value,,Upper-middle-income economies
1194,QCL,Crops and livestock products,214,Dominican Republic,5510,Production,0231,"Hen eggs in shell, fresh",2022,2022,t,239144.64,A,Official figure,,Upper-middle-income economies
1196,QCL,Crops and livestock products,214,Dominican Republic,5510,Production,21111.01,"Meat of cattle with the bone, fresh or chilled",2022,2022,t,61252.53,A,Official figure,,Upper-middle-income economies
1197,QCL,Crops and livestock products,214,Dominican Republic,5510,Production,21121,"Meat of chickens, fresh or chilled",2022,2022,t,365454.05,A,Official figure,,Upper-middle-income economies
1198,QCL,Crops and livestock products,214,Dominican Republic,5510,Production,21116,"Meat of goat, fresh or chilled",2022,2022,t,893.96,I,Imputed value,,Upper-middle-income economies
1199,QCL,Crops and livestock products,214,Dominican Republic,5510,Production,21113.01,"Meat of pig with the bone, fresh or chilled",2022,2022,t,73228.58,A,Official figure,,Upper-middle-income economies
1200,QCL,Crops and livestock products,214,Dominican Republic,5510,Production,21115,"Meat of sheep, fresh or chilled",2022,2022,t,914.25,I,Imputed value,,Upper-middle-income economies
1201,QCL,Crops and livestock products,214,Dominican Republic,5510,Production,02910,Natural honey,2022,2022,t,804.33,A,Official figure,,Upper-middle-income economies
1202,QCL,Crops and livestock products,214,Dominican Republic,5510,Production,02951.01,Raw hides and skins of cattle,2022,2022,t,5742.42,I,Imputed value,,Upper-middle-income economies
1203,QCL,Crops and livestock products,214,Dominican Republic,5510,Production,02954,Raw hides and skins of goats or kids,2022,2022,t,148.4,I,Imputed value,,Upper-middle-income economies
1204,QCL,Crops and livestock products,214,Dominican Republic,5510,Production,02953,Raw hides and skins of sheep or lambs,2022,2022,t,259.04,I,Imputed value,,Upper-middle-income economies
1205,QCL,Crops and livestock products,214,Dominican Republic,5510,Production,02211,Raw milk of cattle,2022,2022,t,860770.65,A,Official figure,,Upper-middle-income economies
1206,QCL,Crops and livestock products,214,Dominican Republic,5510,Production,21514,"Sheep fat, unrendered",2022,2022,t,38.09,I,Imputed value,,Upper-middle-income economies
1207,QCL,Crops and livestock products,218,Ecuador,5510,Production,02960.01,Beeswax,2022,2022,t,96.73,I,Imputed value,,Upper-middle-income economies
1208,QCL,Crops and livestock products,218,Ecuador,5510,Production,21512,"Cattle fat, unrendered",2022,2022,t,13141.15,I,Imputed value,,Upper-middle-income economies
1209,QCL,Crops and livestock products,218,Ecuador,5510,Production,21151,"Edible offal of cattle, fresh, chilled or frozen",2022,2022,t,43803.85,I,Imputed value,,Upper-middle-income economies
1210,QCL,Crops and livestock products,218,Ecuador,5510,Production,21156,"Edible offal of goat, fresh, chilled or frozen",2022,2022,t,28.35,I,Imputed value,,Upper-middle-income economies
1211,QCL,Crops and livestock products,218,Ecuador,5510,Production,21153,"Edible offal of pigs, fresh, chilled or frozen",2022,2022,t,21366.5,I,Imputed value,,Upper-middle-income economies
1212,QCL,Crops and livestock products,218,Ecuador,5510,Production,21155,"Edible offal of sheep, fresh, chilled or frozen",2022,2022,t,916.1,I,Imputed value,,Upper-middle-income economies
1213,QCL,Crops and livestock products,218,Ecuador,5510,Production,21511.01,Fat of pigs,2022,2022,t,24037.31,I,Imputed value,,Upper-middle-income economies
1214,QCL,Crops and livestock products,218,Ecuador,5510,Production,21515,"Goat fat, unrendered",2022,2022,t,8.03,I,Imputed value,,Upper-middle-income economies
1215,QCL,Crops and livestock products,218,Ecuador,5510,Production,0231,"Hen eggs in shell, fresh",2022,2022,t,170770.55,I,Imputed value,,Upper-middle-income economies
1217,QCL,Crops and livestock products,218,Ecuador,5510,Production,21111.01,"Meat of cattle with the bone, fresh or chilled",2022,2022,t,219019.23,I,Imputed value,,Upper-middle-income economies
1218,QCL,Crops and livestock products,218,Ecuador,5510,Production,21121,"Meat of chickens, fresh or chilled",2022,2022,t,513694.0,A,Official figure,,Upper-middle-income economies
1219,QCL,Crops and livestock products,218,Ecuador,5510,Production,21122,"Meat of ducks, fresh or chilled",2022,2022,t,393.79,E,Estimated value,,Upper-middle-income economies
1220,QCL,Crops and livestock products,218,Ecuador,5510,Production,21123,"Meat of geese, fresh or chilled",2022,2022,t,70.77,I,Imputed value,,Upper-middle-income economies
1221,QCL,Crops and livestock products,218,Ecuador,5510,Production,21116,"Meat of goat, fresh or chilled",2022,2022,t,283.52,E,Estimated value,,Upper-middle-income economies
1222,QCL,Crops and livestock products,218,Ecuador,5510,Production,21113.01,"Meat of pig with the bone, fresh or chilled",2022,2022,t,200310.92,I,Imputed value,,Upper-middle-income economies
1223,QCL,Crops and livestock products,218,Ecuador,5510,Production,21114,"Meat of rabbits and hares, fresh or chilled",2022,2022,t,1105.49,I,Imputed value,,Upper-middle-income economies
1224,QCL,Crops and livestock products,218,Ecuador,5510,Production,21115,"Meat of sheep, fresh or chilled",2022,2022,t,6870.74,I,Imputed value,,Upper-middle-income economies
1225,QCL,Crops and livestock products,218,Ecuador,5510,Production,21124,"Meat of turkeys, fresh or chilled",2022,2022,t,3130.31,E,Estimated value,,Upper-middle-income economies
1226,QCL,Crops and livestock products,218,Ecuador,5510,Production,02910,Natural honey,2022,2022,t,881.42,I,Imputed value,,Upper-middle-income economies
1227,QCL,Crops and livestock products,218,Ecuador,5510,Production,21170.92,"Other meat n.e.c. (excluding mammals), fresh, chilled or frozen",2022,2022,t,9181.28,I,Imputed value,,Upper-middle-income economies
1228,QCL,Crops and livestock products,218,Ecuador,5510,Production,02951.01,Raw hides and skins of cattle,2022,2022,t,38109.35,I,Imputed value,,Upper-middle-income economies
1229,QCL,Crops and livestock products,218,Ecuador,5510,Production,02954,Raw hides and skins of goats or kids,2022,2022,t,23.63,I,Imputed value,,Upper-middle-income economies
1230,QCL,Crops and livestock products,218,Ecuador,5510,Production,02953,Raw hides and skins of sheep or lambs,2022,2022,t,687.07,I,Imputed value,,Upper-middle-income economies
1231,QCL,Crops and livestock products,218,Ecuador,5510,Production,02211,Raw milk of cattle,2022,2022,t,1867489.71,E,Estimated value,,Upper-middle-income economies
1232,QCL,Crops and livestock products,218,Ecuador,5510,Production,02292,Raw milk of goats,2022,2022,t,731.17,I,Imputed value,,Upper-middle-income economies
1233,QCL,Crops and livestock products,218,Ecuador,5510,Production,02291,Raw milk of sheep,2022,2022,t,4124.76,I,Imputed value,,Upper-middle-income economies
1234,QCL,Crops and livestock products,218,Ecuador,5510,Production,21514,"Sheep fat, unrendered",2022,2022,t,206.12,I,Imputed value,,Upper-middle-income economies
1235,QCL,Crops and livestock products,218,Ecuador,5510,Production,02941,"Shorn wool, greasy, including fleece-washed shorn wool",2022,2022,t,944.29,E,Estimated value,,Upper-middle-income economies
1236,QCL,Crops and livestock products,818,Egypt,5510,Production,02960.01,Beeswax,2022,2022,t,105.47,I,Imputed value,,Lower-middle-income economies
1237,QCL,Crops and livestock products,818,Egypt,5510,Production,21513,"Buffalo fat, unrendered",2022,2022,t,5456.62,I,Imputed value,,Lower-middle-income economies
1238,QCL,Crops and livestock products,818,Egypt,5510,Production,21512,"Cattle fat, unrendered",2022,2022,t,11022.23,I,Imputed value,,Lower-middle-income economies
1239,QCL,Crops and livestock products,818,Egypt,5510,Production,21152,"Edible offal of buffalo, fresh, chilled or frozen",2022,2022,t,31480.5,I,Imputed value,,Lower-middle-income economies
1240,QCL,Crops and livestock products,818,Egypt,5510,Production,21151,"Edible offal of cattle, fresh, chilled or frozen",2022,2022,t,55800.05,I,Imputed value,,Lower-middle-income economies
1241,QCL,Crops and livestock products,818,Egypt,5510,Production,21156,"Edible offal of goat, fresh, chilled or frozen",2022,2022,t,2384.7,I,Imputed value,,Lower-middle-income economies
1242,QCL,Crops and livestock products,818,Egypt,5510,Production,21153,"Edible offal of pigs, fresh, chilled or frozen",2022,2022,t,61.98,I,Imputed value,,Lower-middle-income economies
1243,QCL,Crops and livestock products,818,Egypt,5510,Production,21155,"Edible offal of sheep, fresh, chilled or frozen",2022,2022,t,5977.83,I,Imputed value,,Lower-middle-income economies
1244,QCL,Crops and livestock products,818,Egypt,5510,Production,21159.02,"Edible offals of camels and other camelids, fresh, chilled or frozen",2022,2022,t,1336.56,I,Imputed value,,Lower-middle-income economies
1245,QCL,Crops and livestock products,818,Egypt,5510,Production,21519.02,Fat of camels,2022,2022,t,559.49,I,Imputed value,,Lower-middle-income economies
1246,QCL,Crops and livestock products,818,Egypt,5510,Production,21511.01,Fat of pigs,2022,2022,t,77.26,I,Imputed value,,Lower-middle-income economies
1247,QCL,Crops and livestock products,818,Egypt,5510,Production,21515,"Goat fat, unrendered",2022,2022,t,392.42,I,Imputed value,,Lower-middle-income economies
1248,QCL,Crops and livestock products,818,Egypt,5510,Production,0231,"Hen eggs in shell, fresh",2022,2022,t,614154.46,I,Imputed value,,Lower-middle-income economies
1250,QCL,Crops and livestock products,818,Egypt,5510,Production,21112,"Meat of buffalo, fresh or chilled",2022,2022,t,197277.79,I,Imputed value,,Lower-middle-income economies
1251,QCL,Crops and livestock products,818,Egypt,5510,Production,21117.01,"Meat of camels, fresh or chilled",2022,2022,t,14608.95,I,Imputed value,,Lower-middle-income economies
1252,QCL,Crops and livestock products,818,Egypt,5510,Production,21111.01,"Meat of cattle with the bone, fresh or chilled",2022,2022,t,413333.74,I,Imputed value,,Lower-middle-income economies
1253,QCL,Crops and livestock products,818,Egypt,5510,Production,21121,"Meat of chickens, fresh or chilled",2022,2022,t,2523466.38,I,Imputed value,,Lower-middle-income economies
1254,QCL,Crops and livestock products,818,Egypt,5510,Production,21122,"Meat of ducks, fresh or chilled",2022,2022,t,64817.74,I,Imputed value,,Lower-middle-income economies
1255,QCL,Crops and livestock products,818,Egypt,5510,Production,21123,"Meat of geese, fresh or chilled",2022,2022,t,12590.35,E,Estimated value,,Lower-middle-income economies
1256,QCL,Crops and livestock products,818,Egypt,5510,Production,21116,"Meat of goat, fresh or chilled",2022,2022,t,14489.3,E,Estimated value,,Lower-middle-income economies
1257,QCL,Crops and livestock products,818,Egypt,5510,Production,21113.01,"Meat of pig with the bone, fresh or chilled",2022,2022,t,662.23,I,Imputed value,,Lower-middle-income economies
1258,QCL,Crops and livestock products,818,Egypt,5510,Production,21170.01,"Meat of pigeons and other birds n.e.c., fresh, chilled or frozen",2022,2022,t,11939.44,I,Imputed value,,Lower-middle-income economies
1259,QCL,Crops and livestock products,818,Egypt,5510,Production,21114,"Meat of rabbits and hares, fresh or chilled",2022,2022,t,66558.77,I,Imputed value,,Lower-middle-income economies
1260,QCL,Crops and livestock products,818,Egypt,5510,Production,21115,"Meat of sheep, fresh or chilled",2022,2022,t,48036.12,I,Imputed value,,Lower-middle-income economies
1261,QCL,Crops and livestock products,818,Egypt,5510,Production,21124,"Meat of turkeys, fresh or chilled",2022,2022,t,24735.13,I,Imputed value,,Lower-middle-income economies
1262,QCL,Crops and livestock products,818,Egypt,5510,Production,02910,Natural honey,2022,2022,t,4439.88,I,Imputed value,,Lower-middle-income economies
1263,QCL,Crops and livestock products,818,Egypt,5510,Production,21170.92,"Other meat n.e.c. (excluding mammals), fresh, chilled or frozen",2022,2022,t,14177.09,E,Estimated value,,Lower-middle-income economies
1264,QCL,Crops and livestock products,818,Egypt,5510,Production,02951.03,Raw hides and skins of buffaloes,2022,2022,t,22246.22,I,Imputed value,,Lower-middle-income economies
1265,QCL,Crops and livestock products,818,Egypt,5510,Production,02951.01,Raw hides and skins of cattle,2022,2022,t,43400.04,I,Imputed value,,Lower-middle-income economies
1266,QCL,Crops and livestock products,818,Egypt,5510,Production,02954,Raw hides and skins of goats or kids,2022,2022,t,1992.28,I,Imputed value,,Lower-middle-income economies
1267,QCL,Crops and livestock products,818,Egypt,5510,Production,02953,Raw hides and skins of sheep or lambs,2022,2022,t,5977.83,I,Imputed value,,Lower-middle-income economies
1268,QCL,Crops and livestock products,818,Egypt,5510,Production,02212,Raw milk of buffalo,2022,2022,t,1276000.0,E,Estimated value,,Lower-middle-income economies
1269,QCL,Crops and livestock products,818,Egypt,5510,Production,02211,Raw milk of cattle,2022,2022,t,4347333.33,E,Estimated value,,Lower-middle-income economies
1270,QCL,Crops and livestock products,818,Egypt,5510,Production,02292,Raw milk of goats,2022,2022,t,33333.33,E,Estimated value,,Lower-middle-income economies
1271,QCL,Crops and livestock products,818,Egypt,5510,Production,02291,Raw milk of sheep,2022,2022,t,67753.09,E,Estimated value,,Lower-middle-income economies
1272,QCL,Crops and livestock products,818,Egypt,5510,Production,21514,"Sheep fat, unrendered",2022,2022,t,1601.2,I,Imputed value,,Lower-middle-income economies
1273,QCL,Crops and livestock products,818,Egypt,5510,Production,02941,"Shorn wool, greasy, including fleece-washed shorn wool",2022,2022,t,11732.55,I,Imputed value,,Lower-middle-income economies
1274,QCL,Crops and livestock products,818,Egypt,5510,Production,02944,Silk-worm cocoons suitable for reeling,2022,2022,t,7.56,I,Imputed value,,Lower-middle-income economies
1275,QCL,Crops and livestock products,222,El Salvador,5510,Production,02960.01,Beeswax,2022,2022,t,217.13,I,Imputed value,,Lower-middle-income economies
1276,QCL,Crops and livestock products,222,El Salvador,5510,Production,21512,"Cattle fat, unrendered",2022,2022,t,714.73,I,Imputed value,,Lower-middle-income economies
1277,QCL,Crops and livestock products,222,El Salvador,5510,Production,21151,"Edible offal of cattle, fresh, chilled or frozen",2022,2022,t,3359.23,I,Imputed value,,Lower-middle-income economies
1278,QCL,Crops and livestock products,222,El Salvador,5510,Production,21156,"Edible offal of goat, fresh, chilled or frozen",2022,2022,t,13.29,I,Imputed value,,Lower-middle-income economies
1279,QCL,Crops and livestock products,222,El Salvador,5510,Production,21153,"Edible offal of pigs, fresh, chilled or frozen",2022,2022,t,384.77,I,Imputed value,,Lower-middle-income economies
1280,QCL,Crops and livestock products,222,El Salvador,5510,Production,21155,"Edible offal of sheep, fresh, chilled or frozen",2022,2022,t,6.37,I,Imputed value,,Lower-middle-income economies
1281,QCL,Crops and livestock products,222,El Salvador,5510,Production,21511.01,Fat of pigs,2022,2022,t,384.77,I,Imputed value,,Lower-middle-income economies
1282,QCL,Crops and livestock products,222,El Salvador,5510,Production,21515,"Goat fat, unrendered",2022,2022,t,2.72,I,Imputed value,,Lower-middle-income economies
1283,QCL,Crops and livestock products,222,El Salvador,5510,Production,0231,"Hen eggs in shell, fresh",2022,2022,t,62709.2,E,Estimated value,,Lower-middle-income economies
1285,QCL,Crops and livestock products,222,El Salvador,5510,Production,21111.01,"Meat of cattle with the bone, fresh or chilled",2022,2022,t,18582.96,I,Imputed value,,Lower-middle-income economies
1286,QCL,Crops and livestock products,222,El Salvador,5510,Production,21121,"Meat of chickens, fresh or chilled",2022,2022,t,161680.15,I,Imputed value,,Lower-middle-income economies
1287,QCL,Crops and livestock products,222,El Salvador,5510,Production,21116,"Meat of goat, fresh or chilled",2022,2022,t,80.07,I,Imputed value,,Lower-middle-income economies
1288,QCL,Crops and livestock products,222,El Salvador,5510,Production,21113.01,"Meat of pig with the bone, fresh or chilled",2022,2022,t,5327.57,I,Imputed value,,Lower-middle-income economies
1289,QCL,Crops and livestock products,222,El Salvador,5510,Production,21115,"Meat of sheep, fresh or chilled",2022,2022,t,38.37,I,Imputed value,,Lower-middle-income economies
1290,QCL,Crops and livestock products,222,El Salvador,5510,Production,02910,Natural honey,2022,2022,t,1861.66,I,Imputed value,,Lower-middle-income economies
1291,QCL,Crops and livestock products,222,El Salvador,5510,Production,02951.01,Raw hides and skins of cattle,2022,2022,t,3502.17,I,Imputed value,,Lower-middle-income economies
1292,QCL,Crops and livestock products,222,El Salvador,5510,Production,02954,Raw hides and skins of goats or kids,2022,2022,t,13.29,I,Imputed value,,Lower-middle-income economies
1293,QCL,Crops and livestock products,222,El Salvador,5510,Production,02953,Raw hides and skins of sheep or lambs,2022,2022,t,6.37,I,Imputed value,,Lower-middle-income economies
1294,QCL,Crops and livestock products,222,El Salvador,5510,Production,02211,Raw milk of cattle,2022,2022,t,364596.54,E,Estimated value,,Lower-middle-income economies
1295,QCL,Crops and livestock products,222,El Salvador,5510,Production,21514,"Sheep fat, unrendered",2022,2022,t,1.3,I,Imputed value,,Lower-middle-income economies
1296,QCL,Crops and livestock products,226,Equatorial Guinea,5510,Production,21512,"Cattle fat, unrendered",2022,2022,t,1.75,I,Imputed value,,Upper-middle-income economies
1297,QCL,Crops and livestock products,226,Equatorial Guinea,5510,Production,21151,"Edible offal of cattle, fresh, chilled or frozen",2022,2022,t,8.85,I,Imputed value,,Upper-middle-income economies
1298,QCL,Crops and livestock products,226,Equatorial Guinea,5510,Production,21156,"Edible offal of goat, fresh, chilled or frozen",2022,2022,t,9.06,I,Imputed value,,Upper-middle-income economies
1299,QCL,Crops and livestock products,226,Equatorial Guinea,5510,Production,21153,"Edible offal of pigs, fresh, chilled or frozen",2022,2022,t,19.96,I,Imputed value,,Upper-middle-income economies
1300,QCL,Crops and livestock products,226,Equatorial Guinea,5510,Production,21155,"Edible offal of sheep, fresh, chilled or frozen",2022,2022,t,19.58,I,Imputed value,,Upper-middle-income economies
1301,QCL,Crops and livestock products,226,Equatorial Guinea,5510,Production,21511.01,Fat of pigs,2022,2022,t,16.11,I,Imputed value,,Upper-middle-income economies
1302,QCL,Crops and livestock products,226,Equatorial Guinea,5510,Production,21515,"Goat fat, unrendered",2022,2022,t,1.79,I,Imputed value,,Upper-middle-income economies
1303,QCL,Crops and livestock products,226,Equatorial Guinea,5510,Production,0231,"Hen eggs in shell, fresh",2022,2022,t,248.24,E,Estimated value,,Upper-middle-income economies
1305,QCL,Crops and livestock products,226,Equatorial Guinea,5510,Production,21111.01,"Meat of cattle with the bone, fresh or chilled",2022,2022,t,48.61,I,Imputed value,,Upper-middle-income economies
1306,QCL,Crops and livestock products,226,Equatorial Guinea,5510,Production,21121,"Meat of chickens, fresh or chilled",2022,2022,t,262.28,I,Imputed value,,Upper-middle-income economies
1307,QCL,Crops and livestock products,226,Equatorial Guinea,5510,Production,21116,"Meat of goat, fresh or chilled",2022,2022,t,49.78,I,Imputed value,,Upper-middle-income economies
1308,QCL,Crops and livestock products,226,Equatorial Guinea,5510,Production,21113.01,"Meat of pig with the bone, fresh or chilled",2022,2022,t,180.38,I,Imputed value,,Upper-middle-income economies
1309,QCL,Crops and livestock products,226,Equatorial Guinea,5510,Production,21115,"Meat of sheep, fresh or chilled",2022,2022,t,107.59,I,Imputed value,,Upper-middle-income economies
1310,QCL,Crops and livestock products,226,Equatorial Guinea,5510,Production,02951.01,Raw hides and skins of cattle,2022,2022,t,8.85,I,Imputed value,,Upper-middle-income economies
1311,QCL,Crops and livestock products,226,Equatorial Guinea,5510,Production,02954,Raw hides and skins of goats or kids,2022,2022,t,10.95,I,Imputed value,,Upper-middle-income economies
1312,QCL,Crops and livestock products,226,Equatorial Guinea,5510,Production,02953,Raw hides and skins of sheep or lambs,2022,2022,t,27.97,I,Imputed value,,Upper-middle-income economies
1313,QCL,Crops and livestock products,226,Equatorial Guinea,5510,Production,21514,"Sheep fat, unrendered",2022,2022,t,4.95,I,Imputed value,,Upper-middle-income economies
1314,QCL,Crops and livestock products,232,Eritrea,5510,Production,21512,"Cattle fat, unrendered",2022,2022,t,967.68,I,Imputed value,,Low income economies
1315,QCL,Crops and livestock products,232,Eritrea,5510,Production,21151,"Edible offal of cattle, fresh, chilled or frozen",2022,2022,t,5093.03,I,Imputed value,,Low income economies
1316,QCL,Crops and livestock products,232,Eritrea,5510,Production,21156,"Edible offal of goat, fresh, chilled or frozen",2022,2022,t,2202.45,I,Imputed value,,Low income economies
1317,QCL,Crops and livestock products,232,Eritrea,5510,Production,21155,"Edible offal of sheep, fresh, chilled or frozen",2022,2022,t,1391.68,I,Imputed value,,Low income economies
1318,QCL,Crops and livestock products,232,Eritrea,5510,Production,21159.02,"Edible offals of camels and other camelids, fresh, chilled or frozen",2022,2022,t,884.03,I,Imputed value,,Low income economies
1319,QCL,Crops and livestock products,232,Eritrea,5510,Production,21519.02,Fat of camels,2022,2022,t,88.4,I,Imputed value,,Low income economies
