Country Code (ISO3),Crop,Item Code (CPC),clipped_PA_surf,total_surf,yield,price
BFA,carrot,01251,1.5623928308486938,4.28971,13045.65,722.1999999999999
BFA,cashew,01372,27296.44921875,139160.72,1136.3,573.7
BFA,cassava,01520.01,392.1307067871094,4478.3584,15659.5,309.0857142857143
BFA,castor,01447,0.7182653546333313,1.7533779,,
BFA,cerealnes,01199.01,2.769639492034912,24.613708,,
BFA,chickpea,01703,0.0142373535782098,12.014767,,
BFA,chilleetc,01231,506.0507507324219,2586.3843,5311.4,1242.1
BFA,citrusnes,01329,1.294853925704956,2.1797168,,
BFA,cocoa,01640,0.0,3.6861472,511.0875,997.15
BFA,coconut,01460,0.0,6.689972,,
BFA,coffee,01610,0.2734231650829315,0.5533687,804.7533333333333,921.0
BFA,cotton,01921.01,41776.6953125,658109.9,966.2,408.8
BFA,cowpea,01706,83256.375,1394207.2,483.2,989.2
BFA,date,01314,2.1599249839782715,6.4695377,6005.742857142858,1103.2
BFA,eggplant,01233,7.270605564117432,15.561337,13908.78888888889,551.7
BFA,fonio,01193,818.8243408203125,15004.61,800.2,1481.0999999999997
BFA,fruitnes,01319,1632.99169921875,14022.478,5434.8,
BFA,garlic,01252,1.0458695888519287,2.3903413,9704.7,545.1
BFA,grapefruitetc,01321,1087.879638671875,1949.3798,14905.9,
BFA,greenbean,01241.90,397.2188415527344,1170.9398,13984.9,1372.85
BFA,greenbroadbean,01243,1.0662821531295776,2.7956483,,
BFA,greencorn,01290.01,34.90216827392578,60.368393,,
BFA,greenonion,01253.01,2443.41845703125,11834.366,16730.9,595.2666666666667
BFA,groundnut,0142,33648.35546875,491654.0,896.3,765.4375
BFA,jutelikefiber,01922.02,2.950737953186035,10.628534,,
BFA,karite,01499.01,17276.259765625,95511.766,1179.3,320.6
BFA,kolanut,01379.02,59.249141693115234,169.60654,,
BFA,legumenes,01290.90,0.0,0.0,7968.9,205.2
BFA,lemonlime,01322,130.4510955810547,1451.2928,6989.3,1410.2
BFA,lettuce,01214,6.035619735717773,17.73998,14676.0,354.95
BFA,maizefor,0112,0.0,0.0,1660.2,371.9
BFA,maize,0112,70737.671875,1161024.0,1660.2,371.9
BFA,mango,01316,424.5792236328125,2864.5374,9420.6,849.6833333333334
BFA,melonseed,01449.01,7.286795139312744,24.698696,,
BFA,millet,0118,149288.3125,1259185.9,870.1,524.2
BFA,nutnes,01379.90,8.230417251586914,25.169226,,
BFA,oilpalm,01491.01,0.0579018704593181,1.2496846,,
BFA,oilseedfor,01449.90,0.0,0.0,1045.23,267.7
BFA,oilseednes,01449.90,3.0999884605407715,5.2518544,1045.23,267.7
BFA,okra,01239.01,12120.80078125,42540.676,7519.4,1075.9499999999998
BFA,onion,01253.02,22.504886627197266,77.127174,13399.90588235294,997.525
BFA,orange,01323,184.16033935546875,1850.0472,4595.3,1111.3
BFA,pea,01705,1.799533128738403,4.935926,1331.925,3178.1
BFA,pepper,01651,3.50982666015625,11.306562,795.8,
BFA,pimento,01652,23.98377990722656,69.73268,2326.735714285714,3890.7
BFA,pineapple,01318,2.3175811767578125,11.722988,8642.446666666667,375.85
BFA,popcorn,0112,0.0,0.0,1660.2,371.9
BFA,potato,01510,214.86505126953125,5534.102,1936.9,758.8285714285714
BFA,pulsenes,01709.90,2308.6767578125,19232.523,1029.5,237.3
BFA,rice,0113,15761.7314453125,190324.97,2211.8,777.86
BFA,rootnes,01599.10,0.8395071029663086,2.1415536,,
BFA,rubber,01950.01,224.58331298828125,427.35623,,
BFA,sesame,01444,32134.716796875,413375.97,527.1,1016.525
BFA,sorghumfor,0114,0.0,0.0,1028.2,413.6
BFA,sorghum,0114,99031.390625,1892043.2,1028.2,413.6
BFA,soybean,0141,4032.302490234375,40397.89,1151.0,723.55
BFA,spicenes,01699,637.830078125,3470.9666,1874.1,
BFA,sugarbeet,01801,0.1246631294488906,2.3167076,21878.7,965.1
BFA,sugarcane,01802,530.3549194335938,4950.1987,101999.9,352.2333333333333
BFA,sweetpotato,01530,333.9809265136719,7725.665,11686.1,308.7857142857143
BFA,tangetc,01324,166.60354614257812,1798.7352,7591.3,
BFA,taro,01550,59.42766189575195,126.03495,6883.50909090909,654.0
BFA,tea,01620,0.0528160035610199,0.55735314,,
BFA,tobacco,01970,75.00949096679688,1018.6208,794.2,495.4
BFA,tomato,01234,396.67327880859375,2108.2634,17170.7,847.8833333333333
