Country Code (ISO3),Country Code (M49),Animal,heads_on_PA,total_heads,total volume
BLR,112,Ct,594222.9,4357579.0,5679778403.0
BLR,112,Dk,117865.805,1813779.6,7666928.0
BLR,112,Gt,9457.726,68612.69,8754338.978
BLR,112,Ho,10476.616,64036.188,1471020.0
BLR,112,Pg,289797.75,3212254.0,1336289205.0
BLR,112,Sh,9484.606,84128.375,6548556.12
BEL,56,Bf,0.357896,0.78060055,0.0
BEL,56,Ch,4159846.5,38502524.0,1213151516.25
BEL,56,Ct,350271.34,2501878.2,4684050495.0
BEL,56,Dk,21868.29,171538.61,765504.0
BEL,56,Gt,7685.784,43692.594,65078895.55555555
BEL,56,Ho,4207.7407,31898.895,
BEL,56,Pg,512755.6,6444420.0,2380323101.333333
BEL,56,Sh,13452.98,100799.78,13636104.375
BLZ,84,Bf,18.66787,28.178936,
BLZ,84,Ch,818792.25,1613672.5,65447610.14192308
BLZ,84,Ct,48030.867,94684.61,12790398.189
BLZ,84,Dk,6888.1543,11744.868,32231.08
BLZ,84,Gt,105.03349,173.9227,5922.000857142857
BLZ,84,Ho,3103.8643,5698.816,
BLZ,84,Pg,11940.863,21576.04,8184448.649999999
BLZ,84,Sh,8171.281,13760.482,316490.51
BEN,204,Bf,0.0,0.0,
BEN,204,Ch,3710371.0,19352704.0,74840222.581
BEN,204,Ct,502566.625,2280051.2,354598462.605
BEN,204,Dk,315.5050354003906,1554.239,
BEN,204,Gt,396201.1875,1799682.2,138677906.511
BEN,204,Ho,312.3203125,1130.3932,
BEN,204,Pg,124522.5,447837.75,34569082.4148
BEN,204,Sh,197687.5,895927.4,236900420.556
BTN,64,Bf,427.5796,662.6527,6875642.286666665
BTN,64,Ch,286591.2,607638.8,12733711.38
BTN,64,Ct,169191.05,307349.7,46654100.7792
BTN,64,Dk,3136.3389,6801.0205,
BTN,64,Gt,19872.795,54151.227,884655.277
BTN,64,Ho,8801.269,14714.653,
BTN,64,Pg,9832.508,19273.393,4244122.4454
BTN,64,Sh,8174.9204,19656.457,173028.534
BOL,68,Bf,15.455719,29.005108,
BOL,68,Ch,77587030.0,196612500.0,2195587067.2850003
BOL,68,Ct,4038832.2,8944906.0,2512628760.3294
