Country Code (ISO3),Country Code (M49),Animal,heads_on_PA,total_heads,total volume
BLR,112,Ct,913787.5,4357579.0,5679778403.0
BLR,112,Dk,175785.53,1813779.6,7666928.0
BLR,112,Gt,14198.242,68612.69,8754338.978
BLR,112,Ho,15326.026,64036.188,1471020.0
BLR,112,Pg,449298.06,3212254.0,1336289205.0
BLR,112,Sh,13787.13,84128.375,6548556.12
BEL,56,Bf,0.357896,0.78060055,0.0
BEL,56,Ch,8191278.5,38502524.0,1213151516.25
BEL,56,Ct,550392.1,2501878.2,4684050495.0
BEL,56,Dk,36948.48,171538.61,765504.0
BEL,56,Gt,13750.63,43692.594,65078895.55555555
BEL,56,Ho,6907.9062,31898.895,
BEL,56,Pg,1250495.0,6444420.0,2380323101.333333
BEL,56,Sh,20238.59,100799.78,13636104.375
BLZ,84,Bf,18.134754,28.178936,
BLZ,84,Ch,771679.8,1613672.5,65447610.14192308
BLZ,84,Ct,46288.688,94684.61,12790398.189
BLZ,84,Dk,6700.7227,11744.868,32231.08
BLZ,84,Gt,103.0706,173.9227,5922.000857142857
BLZ,84,Ho,3024.8074,5698.816,
BLZ,84,Pg,11624.0205,21576.04,8184448.649999999
BLZ,84,Sh,7996.933,13760.482,316490.51
BEN,204,Bf,0.0,0.0,
BEN,204,Ch,4789947.5,19352704.0,74840222.581
BEN,204,Ct,530276.0625,2280051.2,354598462.605
BEN,204,Dk,315.5050354003906,1554.239,
BEN,204,Gt,414119.1875,1799682.2,138677906.511
BEN,204,Ho,360.4509887695313,1130.3932,
BEN,204,Pg,158549.0625,447837.75,34569082.4148
BEN,204,Sh,206828.75,895927.4,236900420.556
BTN,64,Bf,246.4286,662.6527,6875642.286666665
BTN,64,Ch,180582.19,607638.8,12733711.38
BTN,64,Ct,106320.43,307349.7,46654100.7792
BTN,64,Dk,1447.323,6801.0205,
BTN,64,Gt,14206.961,54151.227,884655.277
BTN,64,Ho,5358.7354,14714.653,
BTN,64,Pg,6771.765,19273.393,4244122.4454
BTN,64,Sh,6555.6055,19656.457,173028.534
BOL,68,Bf,14.768071,29.005108,
BOL,68,Ch,55093908.0,196612500.0,2195587067.2850003
BOL,68,Ct,3235515.0,8944906.0,2512628760.3294
BOL,68,Dk,184650.34,664869.2,4398054.008
BOL,68,Gt,353419.8,2179628.5,107712257.1705
BOL,68,Ho,150869.9,491525.8,
BOL,68,Pg,771675.4,2854856.5,423313168.32
BOL,68,Sh,1689593.5,7470627.5,369669078.4446666
BIH,70,Bf,0.0,0.0,
BIH,70,Ch,2304027.0,15417846.0,248206602.4546154
BIH,70,Ct,106854.4296875,458537.7,350976437.52589
BIH,70,Dk,24839.72265625,57666.305,0.0
BIH,70,Gt,22004.86328125,73347.95,
BIH,70,Ho,5373.7216796875,16737.602,24173.761999999995
BIH,70,Pg,57100.3828125,578046.2,29072349.2535
BIH,70,Sh,267482.59375,1025225.4,17908550.334014285
BWA,72,Bf,0.0,0.0,
BWA,72,Ch,273268.21875,757590.4,11847138.119307691
BWA,72,Ct,516900.0,1742475.8,282411984.49583995
BWA,72,Dk,38.58288192749024,56.74292,
BWA,72,Gt,410802.0625,1203620.2,31224563.87914285
BWA,72,Ho,9534.947265625,32306.191,
BWA,72,Pg,1350.02099609375,4511.3887,870339.9495
BWA,72,Sh,89809.7265625,241088.28,4807361.667099999
BRA,76,Bf,690307.75,1364557.4,
BRA,76,Ch,148534690.0,1325112700.0,48942367790.99359
BRA,76,Ct,25050520.0,215161120.0,71777135742.54431
BRA,76,Dk,532229.7,3654739.0,10318228.8
BRA,76,Gt,1569840.0,9618495.0,411254225.9477143
BRA,76,Ho,890721.75,5547363.0,109925548.982
BRA,76,Pg,3388470.8,39776092.0,19128900190.5645
BRA,76,Sh,2388873.8,18397188.0,699876281.1480999
BGR,100,Bf,4215.4326,9522.409,11148797.333333334
BGR,100,Ch,3138323.8,12894094.0,258849072.4615385
BGR,100,Ct,208798.23,551749.94,487874176.59
