Country Code (ISO3),item,macro_impact,type,physical_volume,physical_unit,bu_agri_output,Country Name,gdp2022,relative impact
AFG,olive,,vegetal,1096.3265379638672,tonnes,,Afghanistan,14502158192.0904,
AFG,onion,45161311.30149471,vegetal,45273.362874609375,tonnes,134631031.18521133,Afghanistan,14502158192.0904,0.33544503747703225
AFG,orange,1011328.2562816697,vegetal,910.0407237304687,tonnes,2461302.163652723,Afghanistan,14502158192.0904,0.4108915480660841
AFG,papaya,3354.328352522271,vegetal,3.589052378046513,tonnes,12983.793299596144,Afghanistan,14502158192.0904,0.25834733156346584
AFG,peachetc,,vegetal,8411.562160180663,tonnes,,Afghanistan,14502158192.0904,
AFG,pear,,vegetal,1209.2760009765625,tonnes,,Afghanistan,14502158192.0904,
AFG,pea,2380831.282805958,vegetal,749.1366800308227,tonnes,12456299.395490317,Afghanistan,14502158192.0904,0.19113471884498176
AFG,pepper,,vegetal,,tonnes,,Afghanistan,14502158192.0904,
AFG,pimento,128762.04535508218,vegetal,33.09482750021389,tonnes,474069.1301740274,Afghanistan,14502158192.0904,0.2716102719192337
AFG,pistachio,,vegetal,121.95914708862306,tonnes,,Afghanistan,14502158192.0904,
AFG,plum,,vegetal,3890.7924364349365,tonnes,,Afghanistan,14502158192.0904,
AFG,popcorn,0.0,vegetal,0.0,tonnes,0.0,Afghanistan,14502158192.0904,
AFG,potato,66796413.73455636,vegetal,88025.69677734375,tonnes,622652761.0714822,Afghanistan,14502158192.0904,0.1072771501400087
AFG,pulsenes,1348167.981995215,vegetal,5681.281002929688,tonnes,7934883.8761542,Afghanistan,14502158192.0904,0.169903933445921
AFG,pumpkinetc,66516.66460983832,vegetal,163.5722724943768,tonnes,167647.896404682,Afghanistan,14502158192.0904,0.39676408733024027
AFG,quince,,vegetal,,tonnes,,Afghanistan,14502158192.0904,
AFG,rapeseed,,vegetal,,tonnes,,Afghanistan,14502158192.0904,
AFG,rice,89079729.58964844,vegetal,114518.974609375,tonnes,544645863.2623501,Afghanistan,14502158192.0904,0.16355532208777593
AFG,rootnes,,vegetal,,tonnes,,Afghanistan,14502158192.0904,
AFG,ryefor,,vegetal,,tonnes,,Afghanistan,14502158192.0904,
AFG,rye,,vegetal,,tonnes,,Afghanistan,14502158192.0904,
AFG,safflower,,vegetal,,tonnes,,Afghanistan,14502158192.0904,
AFG,sesame,7125879.338364351,vegetal,7010.038452929688,tonnes,19144145.99047271,Afghanistan,14502158192.0904,0.37222236718789237
AFG,sorghumfor,0.0,vegetal,0.0,tonnes,0.0,Afghanistan,14502158192.0904,
AFG,sorghum,2982.5464735987257,vegetal,5.549852949514756,tonnes,7712.795913880628,Afghanistan,14502158192.0904,0.3867010753170678
AFG,sourcherry,,vegetal,,tonnes,,Afghanistan,14502158192.0904,
AFG,soybean,19817.869707336275,vegetal,27.389772244262694,tonnes,42719.98984324932,Afghanistan,14502158192.0904,0.46390155475348094
AFG,spicenes,,vegetal,0.5672695068359375,tonnes,,Afghanistan,14502158192.0904,
AFG,spinach,,vegetal,,tonnes,,Afghanistan,14502158192.0904,
AFG,stonefruitnes,,vegetal,1988.7655632568358,tonnes,,Afghanistan,14502158192.0904,
AFG,strawberry,,vegetal,,tonnes,,Afghanistan,14502158192.0904,
AFG,sugarbeet,1772115.7559876572,vegetal,1836.1991047431948,tonnes,10551012.586649898,Afghanistan,14502158192.0904,0.1679569369701918
AFG,sugarcane,6769655.484522781,vegetal,19219.235784582517,tonnes,20289674.325497597,Afghanistan,14502158192.0904,0.33365027826077526
AFG,sunflower,,vegetal,242.3954720947265,tonnes,,Afghanistan,14502158192.0904,
AFG,sweetpotato,9161.263171768516,vegetal,29.668675550487908,tonnes,11293.214009147743,Afghanistan,14502158192.0904,0.811218415266699
AFG,tangetc,,vegetal,,tonnes,,Afghanistan,14502158192.0904,
AFG,tea,,vegetal,,tonnes,,Afghanistan,14502158192.0904,
AFG,tobacco,141.72284816743004,vegetal,0.2860776103500809,tonnes,633.5946386962496,Afghanistan,14502158192.0904,0.22368063034601074
AFG,tomato,853631.8857200008,vegetal,1006.7798860535069,tonnes,2444371.0117426086,Afghanistan,14502158192.0904,0.34922353506043297
AFG,tropicalnes,,vegetal,,tonnes,,Afghanistan,14502158192.0904,
AFG,turnipfor,0.0,vegetal,0.0,tonnes,0.0,Afghanistan,14502158192.0904,
AFG,vegetablenes,105620.46429384613,vegetal,514.7196115684509,tonnes,288437.99551559996,Afghanistan,14502158192.0904,0.36618082893359216
AFG,vegfor,41718028.93182422,vegetal,203304.23456054687,tonnes,288222113.78856,Afghanistan,14502158192.0904,0.1447426374869647
AFG,walnut,,vegetal,792.2650309326173,tonnes,,Afghanistan,14502158192.0904,
AFG,watermelon,69912050.84516951,vegetal,96743.99895546876,tonnes,233923606.73872983,Afghanistan,14502158192.0904,0.2988670182537607
AFG,wheat,682368618.739225,vegetal,798745.89575,tonnes,4651015349.475658,Afghanistan,14502158192.0904,0.1467139038395462
AFG,yam,41441.23883985685,vegetal,50.90748582993287,tonnes,108189.65474099753,Afghanistan,14502158192.0904,0.38304252785597487
ALB,alfalfa,,vegetal,,tonnes,,Albania,18916378860.5488,
ALB,almond,186114.81333940427,vegetal,98.45260968017575,tonnes,337267.07208349067,Albania,18916378860.5488,0.5518321494881404
ALB,aniseetc,9919.285329635832,vegetal,3.8039417593101663,tonnes,13676.348619851156,Albania,18916378860.5488,0.7252875460660629
ALB,apple,20753280.016076908,vegetal,37225.61437861329,tonnes,59501055.301393,Albania,18916378860.5488,0.3487884359521779
ALB,apricot,2483757.360780432,vegetal,2778.873753390503,tonnes,6066644.583227201,Albania,18916378860.5488,0.4094120442867904
ALB,artichoke,60237.96941334332,vegetal,50.853040744032185,tonnes,91743.22360940024,Albania,18916378860.5488,0.6565931198342063
ALB,asparagus,153846.3106368631,vegetal,45.540103673744206,tonnes,248234.68392012507,Albania,18916378860.5488,0.6197615426149172
ALB,avocado,40263.89711232256,vegetal,29.4169591401463,tonnes,52984.144634520264,Albania,18916378860.5488,0.7599235090055563
ALB,banana,662.653401538777,vegetal,1.1659180349174405,tonnes,1759.338997095335,Albania,18916378860.5488,0.37664907253963925
ALB,barley,1463321.0810756101,vegetal,3690.595412548828,tonnes,5179040.677923059,Albania,18916378860.5488,0.28254674409362684
ALB,bean,12217759.734682178,vegetal,5247.276986206055,tonnes,52712906.930206805,Albania,18916378860.5488,0.23177928227063618
ALB,beetfor,14932.84288399017,vegetal,302.8096760948181,tonnes,18266.881592477435,Albania,18916378860.5488,0.8174817802585269
ALB,berrynes,3782.165197323638,vegetal,1.9971723963562638,tonnes,6992.714741787391,Albania,18916378860.5488,0.5408722273085156
ALB,broadbean,63975.71503194709,vegetal,68.26533822250366,tonnes,229838.24465697233,Albania,18916378860.5488,0.2783510426101157
ALB,cabbagefor,0.0,vegetal,0.0,tonnes,0.0,Albania,18916378860.5488,
