Country Code (ISO3),item,macro_impact,type,physical_volume,physical_unit,Country Name,gdp2022,relative impact
AFG,papaya,3354.328352522271,vegetal,3.589052378046513,tonnes,Afghanistan,14502158192.0904,2.3129856315812016e-07
AFG,peachetc,,vegetal,8411.562160180663,tonnes,Afghanistan,14502158192.0904,
AFG,pear,,vegetal,1209.2760009765625,tonnes,Afghanistan,14502158192.0904,
AFG,pea,2380831.282805958,vegetal,749.1366800308227,tonnes,Afghanistan,14502158192.0904,0.00016417082556060403
AFG,pepper,,vegetal,,tonnes,Afghanistan,14502158192.0904,
AFG,pimento,128762.04535508218,vegetal,33.09482750021389,tonnes,Afghanistan,14502158192.0904,8.878819528069283e-06
AFG,pistachio,,vegetal,121.95914708862306,tonnes,Afghanistan,14502158192.0904,
AFG,plum,,vegetal,3890.7924364349365,tonnes,Afghanistan,14502158192.0904,
AFG,popcorn,0.0,vegetal,0.0,tonnes,Afghanistan,14502158192.0904,0.0
AFG,potato,66796413.73455636,vegetal,88025.69677734375,tonnes,Afghanistan,14502158192.0904,0.004605963667600019
AFG,pulsenes,1348167.981995215,vegetal,5681.281002929688,tonnes,Afghanistan,14502158192.0904,9.29632654766183e-05
AFG,pumpkinetc,66516.66460983832,vegetal,163.5722724943768,tonnes,Afghanistan,14502158192.0904,4.586673495681289e-06
AFG,quince,,vegetal,,tonnes,Afghanistan,14502158192.0904,
AFG,rapeseed,,vegetal,,tonnes,Afghanistan,14502158192.0904,
AFG,rice,89079729.58964844,vegetal,114518.974609375,tonnes,Afghanistan,14502158192.0904,0.006142515369762914
AFG,rootnes,,vegetal,,tonnes,Afghanistan,14502158192.0904,
AFG,ryefor,,vegetal,,tonnes,Afghanistan,14502158192.0904,
AFG,rye,,vegetal,,tonnes,Afghanistan,14502158192.0904,
AFG,safflower,,vegetal,,tonnes,Afghanistan,14502158192.0904,
AFG,sesame,7125879.338364351,vegetal,7010.038452929688,tonnes,Afghanistan,14502158192.0904,0.0004913668189229149
AFG,sorghumfor,0.0,vegetal,0.0,tonnes,Afghanistan,14502158192.0904,0.0
AFG,sorghum,2982.5464735987257,vegetal,5.549852949514756,tonnes,Afghanistan,14502158192.0904,2.056622493075156e-07
AFG,sourcherry,,vegetal,,tonnes,Afghanistan,14502158192.0904,
AFG,soybean,19817.869707336275,vegetal,27.389772244262694,tonnes,Afghanistan,14502158192.0904,1.366546237107323e-06
AFG,spicenes,,vegetal,0.5672695068359375,tonnes,Afghanistan,14502158192.0904,
AFG,spinach,,vegetal,,tonnes,Afghanistan,14502158192.0904,
AFG,stonefruitnes,,vegetal,1988.7655632568358,tonnes,Afghanistan,14502158192.0904,
AFG,strawberry,,vegetal,,tonnes,Afghanistan,14502158192.0904,
AFG,sugarbeet,1772115.7559876572,vegetal,1836.1991047431948,tonnes,Afghanistan,14502158192.0904,0.00012219669186577927
AFG,sugarcane,6769655.484522781,vegetal,19219.235784582517,tonnes,Afghanistan,14502158192.0904,0.00046680331264177
AFG,sunflower,,vegetal,242.3954720947265,tonnes,Afghanistan,14502158192.0904,
AFG,sweetpotato,9161.263171768516,vegetal,29.668675550487908,tonnes,Afghanistan,14502158192.0904,6.317172279064744e-07
AFG,tangetc,,vegetal,,tonnes,Afghanistan,14502158192.0904,
AFG,tea,,vegetal,,tonnes,Afghanistan,14502158192.0904,
AFG,tobacco,141.72284816743004,vegetal,0.2860776103500809,tonnes,Afghanistan,14502158192.0904,9.772534976533829e-09
AFG,tomato,853631.8857200008,vegetal,1006.7798860535069,tonnes,Afghanistan,14502158192.0904,5.886240340321062e-05
AFG,tropicalnes,,vegetal,,tonnes,Afghanistan,14502158192.0904,
AFG,turnipfor,0.0,vegetal,0.0,tonnes,Afghanistan,14502158192.0904,0.0
AFG,vegetablenes,105620.46429384613,vegetal,514.7196115684509,tonnes,Afghanistan,14502158192.0904,7.283085930717017e-06
AFG,vegfor,41718028.93182422,vegetal,203304.23456054687,tonnes,Afghanistan,14502158192.0904,0.0028766772765296124
AFG,walnut,,vegetal,792.2650309326173,tonnes,Afghanistan,14502158192.0904,
AFG,watermelon,69912050.84516951,vegetal,96743.99895546876,tonnes,Afghanistan,14502158192.0904,0.004820803215572433
AFG,wheat,682368618.739225,vegetal,798745.89575,tonnes,Afghanistan,14502158192.0904,0.04705290134756595
AFG,yam,41441.23883985685,vegetal,50.90748582993287,tonnes,Afghanistan,14502158192.0904,2.8575911454654555e-06
ALB,alfalfa,,vegetal,,tonnes,Albania,18916378860.5488,
ALB,almond,186114.81333940427,vegetal,98.45260968017575,tonnes,Albania,18916378860.5488,9.838818238492645e-06
ALB,aniseetc,9919.285329635832,vegetal,3.8039417593101663,tonnes,Albania,18916378860.5488,5.243754844814973e-07
ALB,apple,20753280.016076908,vegetal,37225.61437861329,tonnes,Albania,18916378860.5488,0.0010971063843175117
ALB,apricot,2483757.360780432,vegetal,2778.873753390503,tonnes,Albania,18916378860.5488,0.00013130194627051223
ALB,artichoke,60237.96941334332,vegetal,50.853040744032185,tonnes,Albania,18916378860.5488,3.184434497607419e-06
ALB,asparagus,153846.3106368631,vegetal,45.540103673744206,tonnes,Albania,18916378860.5488,8.132968353563613e-06
ALB,avocado,40263.89711232256,vegetal,29.4169591401463,tonnes,Albania,18916378860.5488,2.1285203372774075e-06
ALB,banana,662.653401538777,vegetal,1.1659180349174405,tonnes,Albania,18916378860.5488,3.503066873548292e-08
ALB,barley,1463321.0810756101,vegetal,3690.595412548828,tonnes,Albania,18916378860.5488,7.735735744474069e-05
ALB,bean,12217759.734682178,vegetal,5247.276986206055,tonnes,Albania,18916378860.5488,0.0006458825880339614
ALB,beetfor,14932.84288399017,vegetal,302.8096760948181,tonnes,Albania,18916378860.5488,7.894133964050316e-07
ALB,berrynes,3782.165197323638,vegetal,1.9971723963562638,tonnes,Albania,18916378860.5488,1.999412903074997e-07
ALB,broadbean,63975.71503194709,vegetal,68.26533822250366,tonnes,Albania,18916378860.5488,3.382027580626022e-06
ALB,cabbagefor,0.0,vegetal,0.0,tonnes,Albania,18916378860.5488,0.0
ALB,cabbage,10766028.965029579,vegetal,31571.932448767093,tonnes,Albania,18916378860.5488,0.000569137943598854
ALB,carob,331389.12151562603,vegetal,302.1969008896827,tonnes,Albania,18916378860.5488,1.7518634193077892e-05
ALB,carrotfor,0.0,vegetal,0.0,tonnes,Albania,18916378860.5488,0.0
ALB,carrot,3162995.401620908,vegetal,6518.9517758056645,tonnes,Albania,18916378860.5488,0.00016720934936535436
ALB,cauliflower,1415714.5766713256,vegetal,1281.189662145996,tonnes,Albania,18916378860.5488,7.484067575025577e-05
