Animal,clipped_PA_surf,total_surf
Bf,0.023402942,0.047296714
Ch,1328057.6,10546995.0
Ct,403413.16,1599629.5
Dk,204481.48,752312.4
Gt,121679.86,373614.97
Ho,9674.424,33928.023
Pg,488088.8,2245540.0
Sh,579710.44,2049269.2
