Animal,clipped_PA_surf,total_surf
Bf,26297.475,121603.17
Ch,57663800.0,311660130.0
Ct,2803173.0,14209482.0
Dk,64390.44,397515.72
Gt,3233376.5,10325004.0
Ho,35615.62,131180.14
Pg,1259.1991,2931.1938
Sh,6964785.0,31057800.0
