Animal,clipped_PA_surf,total_surf
Bf,0.0,0.0
Ch,1107753.125,4066094.5
Ct,669816.9375,2774401.2
Dk,3.6161093711853027,18.030968
Gt,486230.65625,1869931.5
Ho,11756.32421875,47168.3
Pg,19908.505859375,82576.22
Sh,408497.46875,1973686.9
