Animal,clipped_PA_surf,total_surf
Bf,6590.775,69818.74
Ch,17976032.0,167365620.0
Ct,1181091.0,11633022.0
Dk,184623.22,1449348.8
Gt,2848.7095,29919.264
Ho,39283.805,399169.16
Pg,795776.94,13175039.0
Sh,72490.08,822849.94
