Country Code (ISO3),Country Code (M49),Animal,heads_on_PA,total_heads,total volume
AFG,4,Bf,200.84198,840.0013,
AFG,4,Ch,3077476.0,12092643.0,149581501.916
AFG,4,Ct,1262024.8,5268365.0,1910657234.009
AFG,4,Dk,79597.66,390565.3,
AFG,4,Gt,1734126.2,7746219.0,363679062.532
AFG,4,Ho,32847.42,172977.95,
AFG,4,Pg,4.843966,35.31682,
AFG,4,Sh,2630012.0,13245412.0,765256592.541
ALB,8,Bf,42.22946,115.64902,
ALB,8,Ch,1975216.2,8554729.0,155531696.93653846
ALB,8,Ct,168397.2,504152.53,574034378.01158
ALB,8,Dk,216457.62,1003687.5,
ALB,8,Gt,332439.88,931509.75,91093184.20085712
ALB,8,Ho,9568.693,30934.459,
ALB,8,Pg,66546.7,171476.19,31353925.68
ALB,8,Sh,618841.1,1917048.2,165502224.03184286
DZA,12,Bf,0.0,0.0,
DZA,12,Ch,28813040.0,133532600.0,1722335151.204
DZA,12,Ct,563503.1875,2145168.0,2984129624.6256
DZA,12,Dk,14195.205078125,59867.188,
DZA,12,Gt,1437768.625,5021311.5,853252511.7475
DZA,12,Ho,10435.0927734375,42395.973,1499410.686
DZA,12,Pg,905.6544189453124,5068.444,371756.502
DZA,12,Sh,6340522.0,28096154.0,4627265077.772333
AGO,24,Bf,0.0,0.0,
AGO,24,Ch,8684869.0,35696710.0,531524011.916
AGO,24,Ct,1108286.625,4988371.0,922494112.6824
AGO,24,Dk,60.5864486694336,196.74959,
AGO,24,Gt,1124645.75,4384230.5,102192989.86
AGO,24,Ho,152.36659240722656,1055.3392,
AGO,24,Pg,770320.125,3139573.5,582943928.7653999
AGO,24,Sh,358595.34375,1120624.4,42734168.73899999
ARG,32,Bf,30145.441,80844.6,
ARG,32,Ch,28155130.0,114767704.0,8498404513.192043
ARG,32,Ct,11349193.0,51433076.0,22275912042.211
ARG,32,Dk,642656.1,2581893.5,21304486.888
ARG,32,Gt,1351223.5,4723624.5,38234347.85657142
ARG,32,Ho,665671.4,2448282.8,108321009.4
ARG,32,Pg,901542.4,5015117.5,2668078623.0
ARG,32,Sh,3715987.8,14858392.0,299152390.0959
ARM,51,Bf,343.3155,808.8533,
ARM,51,Ch,2251080.5,4050001.8,125682544.52307692
ARM,51,Ct,307670.7,680309.56,643544161.0
ARM,51,Dk,11351.06,24707.127,
ARM,51,Gt,17134.48,33074.94,2140737.251714286
ARM,51,Ho,4547.018,11348.959,
ARM,51,Pg,57375.36,141098.45,54956415.0
ARM,51,Sh,365144.25,699381.56,103074255.1436
AUS,36,Bf,1245.7328,3966.195,
AUS,36,Ch,30419596.0,88501736.0,4352351388.156905
AUS,36,Ct,6654004.5,27385164.0,17497287127.0
AUS,36,Dk,470855.3,1145785.8,102322049.04
AUS,36,Gt,614797.25,3598219.8,192494952.7444445
AUS,36,Ho,99447.664,271353.47,47366240.58733333
AUS,36,Pg,584160.06,2270200.8,1006049626.6666667
AUS,36,Sh,16491694.0,70861496.0,4679472797.34375
AUT,40,Bf,35.94857,57.01588,0.0
AUT,40,Ch,2382924.0,16388198.0,
AUT,40,Ct,410045.22,1972808.2,4068438411.25
AUT,40,Dk,14292.098,59691.695,
AUT,40,Gt,18634.879,70910.96,39732167.38888889
AUT,40,Ho,25251.287,88915.67,
AUT,40,Pg,466717.62,2847598.5,1101420272.0
AUT,40,Sh,110373.0,350139.03,55979949.1375
AZE,31,Bf,30216.72,242240.88,
AZE,31,Ch,4765939.0,27331344.0,641248576.1104615
AZE,31,Ct,484570.38,2454857.0,1876116751.594
AZE,31,Dk,301.7992,566.58704,
AZE,31,Gt,222358.23,647959.75,2685463.0
AZE,31,Ho,18696.562,73599.484,
AZE,31,Pg,2285.886,5825.0522,1851551.7
AZE,31,Sh,1712470.1,7991286.0,612272301.8825713
BHS,44,Bf,0.0,0.0,
BHS,44,Ch,2760473.75,3007001.2,19042142.91156419
BHS,44,Ct,672.79931640625,726.99164,588803.80995
BHS,44,Dk,0.0,0.0,
BHS,44,Gt,13634.841796875,14729.117,2367748.303333333
BHS,44,Ho,0.0,0.0,
BHS,44,Pg,4499.37890625,4877.355,788975.3386666668
BHS,44,Sh,5958.43798828125,6462.605,188528.525625
BHR,48,Bf,0.0,0.0,
BHR,48,Ch,0.0,3428000.0,34960784.019459456
BHR,48,Ct,0.0,8945.0,12371472.073375
BHR,48,Dk,0.0,0.0,
BHR,48,Gt,0.0,19151.0,2049275.373
BHR,48,Ho,0.0,0.0,
BHR,48,Pg,0.0,0.0,
BHR,48,Sh,0.0,47615.0,168258737.0736375
BGD,50,Bf,247720.22,1451692.9,524713272.1833333
BGD,50,Ch,30266410.0,259011520.0,1923600823.432
BGD,50,Ct,2192943.5,23442616.0,10891783784.784
BGD,50,Dk,5339385.5,49937110.0,133204778.752
BGD,50,Gt,4609442.5,55570030.0,3256911439.9750004
BGD,50,Ho,3.2058954,17.318787,
BGD,50,Pg,88556.43,243964.97,
BGD,50,Sh,223059.12,2082063.8,223314493.25
BRB,52,Bf,0.0,0.0,
BRB,52,Ch,2885521.0,3919000.0,51324371.30472973
BRB,52,Ct,8415.7158203125,11050.0,4080335.1575
BRB,52,Dk,0.0,0.0,
BRB,52,Gt,3792.7919921875,5393.0,201875.21833333332
BRB,52,Ho,874.1548461914062,1239.0,
BRB,52,Pg,16438.58203125,22599.998,5854595.466666667
BRB,52,Sh,8983.2841796875,12998.0,531682.96875
BLR,112,Bf,0.0,0.03507725,
BLR,112,Ch,2973905.0,45085436.0,1883477982.3116307
BLR,112,Ct,561096.9,4357579.0,5679778403.0
BLR,112,Dk,113465.94,1813779.6,7666928.0
BLR,112,Gt,9036.141,68612.69,8754338.978
BLR,112,Ho,9960.259,64036.188,1471020.0
BLR,112,Pg,276664.34,3212254.0,1336289205.0
BLR,112,Sh,9172.963,84128.375,6548556.12
BEL,56,Bf,0.357896,0.78060055,0.0
BEL,56,Ch,4322201.0,38502524.0,1213151516.25
BEL,56,Ct,361747.7,2501878.2,4684050495.0
BEL,56,Dk,22336.414,171538.61,765504.0
BEL,56,Gt,7937.333,43692.594,65078895.55555555
BEL,56,Ho,4427.756,31898.895,
BEL,56,Pg,526386.5,6444420.0,2380323101.333333
BEL,56,Sh,13992.205,100799.78,13636104.375
BLZ,84,Bf,18.383625,28.178936,
BLZ,84,Ch,785392.44,1613672.5,65447610.14192308
BLZ,84,Ct,47430.297,94684.61,12790398.189
BLZ,84,Dk,6679.665,11744.868,32231.08
BLZ,84,Gt,102.88839,173.9227,5922.000857142857
BLZ,84,Ho,3088.108,5698.816,
BLZ,84,Pg,11937.927,21576.04,8184448.649999999
BLZ,84,Sh,8086.3296,13760.482,316490.51
BEN,204,Bf,0.0,0.0,
BEN,204,Ch,4244652.0,19352704.0,74840222.581
BEN,204,Ct,520114.28125,2280051.2,354598462.605
BEN,204,Dk,315.5050354003906,1554.239,
BEN,204,Gt,409757.78125,1799682.2,138677906.511
BEN,204,Ho,341.7393493652344,1130.3932,
BEN,204,Pg,145440.71875,447837.75,34569082.4148
BEN,204,Sh,204838.75,895927.4,236900420.556
BTN,64,Bf,354.8523,662.6527,6875642.286666665
BTN,64,Ch,312809.28,607638.8,12733711.38
BTN,64,Ct,167287.2,307349.7,46654100.7792
BTN,64,Dk,2703.958,6801.0205,
BTN,64,Gt,19173.033,54151.227,884655.277
BTN,64,Ho,8592.492,14714.653,
BTN,64,Pg,9318.209,19273.393,4244122.4454
BTN,64,Sh,8088.996,19656.457,173028.534
